type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information,source_file
Phenol Red,P. citrinopileatus,300 mg/l,1 mm,stagnant,25°C,20 days,5,not specified,mycelial bits,,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt
Phenol Red,Pfo 6X9,300 mg/l,1 mm,stagnant,25°C,20 days,5,not specified,mycelial bits,,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt
Phenol Red,Poc 9X6,300 mg/l,1 mm,stagnant,25°C,20 days,5,not specified,mycelial bits,,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt
Phenol Red,Poc 9X6,300 mg/l,5 ml of 10-day-old culture,stagnant,25°C,20 days,5.5,maximum achieved,mycelial bits,0.1% Tween-80 was used,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt
Phenol Red,Pfo 6X9,300 mg/l,5 ml of 10-day-old culture,stagnant,25°C,20 days,5.5,not specified,mycelial bits,0.1% Tween-80 supported maximum decolorization,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt
Phenol Red,Poc 9X6,300 mg/l,1 mm,stagnant,25°C,20 days,5.5,maximum achieved,mycelial bits,0.5 mM SDS used,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt
Phenol Red,Pfo 6X9,300 mg/l,1 mm,stagnant,25°C,20 days,5.5,not specified,mycelial bits,use of 0.5 mM SDS,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt
MTBE,Phanerochaete chrysosporium,0.5 g/L,1.0 x 10^6 spores/mL,shaking,37°C,24 hours,6.5,26%,mycelium,Performed with 36 Units/L Laccase enzyme.,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
MTBE,Phanerochaete chrysosporium,0.5 g/L,1.0 x 10^6 spores/mL,shaking,37°C,48 hours,6.5,38%,mycelium,Performed with 72 Units/L Laccase enzyme.,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
MTBE,Phanerochaete chrysosporium,0.5 g/L,1.0 x 10^6 spores/mL,shaking,37°C,24 hours,6.5,37%,mycelium,Performed with 144 Units/L Laccase enzyme.,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
Naphthalene,Phanerochaete chrysosporium,0.5 g/L,1.0 x 10^6 spores/mL,shaking,37°C,24 hours,6.5,22%,mycelium,Performed with 36 Units/L Laccase enzyme.,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
Naphthalene,Phanerochaete chrysosporium,0.5 g/L,1.0 x 10^6 spores/mL,shaking,37°C,48 hours,6.5,23%,mycelium,Performed with 72 Units/L Laccase enzyme.,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
Naphthalene,Phanerochaete chrysosporium,0.5 g/L,1.0 x 10^6 spores/mL,shaking,37°C,24 hours,6.5,27%,mycelium,Performed with 144 Units/L Laccase enzyme.,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
Ambifix Blue H3R,Polyporus pseudobetulinus,200 mg/L,3 plugs (6 mm diameter),rotary shaker,25°C,8 days,5,98%,whole fungi,Initial concentration of dye was 200 mg/L,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt
Ambifix Yellow H3R,Polyporus pseudobetulinus,200 mg/L,3 plugs (6 mm diameter),rotary shaker,25°C,10 days,5,24%,whole fungi,Initial concentration of dye was 200 mg/L,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt
Ambifix Red HE3B,Polyporus pseudobetulinus,200 mg/L,3 plugs (6 mm diameter),rotary shaker,25°C,18 days,5,50%,whole fungi,Initial concentration of dye was 200 mg/L,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt
Malachite Green,Polyporus pseudobetulinus,100 mg/L,5 U/ml,static,30°C,24 hours,5,80%,whole fungi,Crude enzyme was used for decolorization,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt
Ambifix Blue H3R,Polyporus pseudobetulinus,100 mg/L,5 U/ml,static,30°C,15 minutes,5,65%,whole fungi,Crude enzyme was used for decolorization,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt
none,Trametes versicolor,none,0.102 ± 0.002 g,shaking,28°C,10 days,4.5,none,mycelium,Growth in modified TDM medium,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
none,Trametes versicolor,none,0.102 ± 0.002 g,shaking,35°C,10 days,4.5,none,mycelium,Not significant growth,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
none,Trametes versicolor,none,0.102 ± 0.002 g,shaking,28°C,10 days,4.5,none,mycelium,Laccase production with glucose,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
none,Trametes versicolor,none,none,shaking,28°C,3 days,4.5,none,mycelium,Inducers were added after this duration,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
none,Trametes versicolor,none,0.040 g/L,shaking,28°C,duration unspecified,4.5,870 U/L,mycelium,Solid lignin used as inducer,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
none,Trametes versicolor,none,0.200 g/L,shaking,28°C,duration unspecified,4.5,985 U/L,mycelium,Solid lignin used as inducer,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
none,Trametes versicolor,none,0.400 g/L,shaking,28°C,duration unspecified,4.5,1240 U/L,mycelium,Solid lignin used as inducer,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
none,Trametes versicolor,none,1.000 g/L,shaking,28°C,duration unspecified,4.5,64 U/L,mycelium,Control without inducers,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
none,Trametes versicolor,none,1.000 g/L,shaking,28°C,duration unspecified,4.5,376 U/L,mycelium,Glucose suppression increased production,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
none,Trametes versicolor,none,0.086 g/L,shaking,28°C,duration unspecified,4.5,224 U/L,mycelium,Ligninosulphonates used as inducer,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
none,Trametes versicolor,none,2.000 g/L,shaking,28°C,duration unspecified,4.5,912 U/L,mycelium,Lignin used as inducer,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
,Clitopilus scyphoides,Not applicable,Not applicable,,27±2°C,7-10 days,Not applicable,Not applicable,mycelium,Microwave method used for rapid extraction of DNA.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,Ganoderma rasinaceum,Not applicable,Not applicable,,27±2°C,7-10 days,Not applicable,Not applicable,mycelium,Microwave method used for rapid extraction of DNA.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,Schizophyllum sp.,Not applicable,Not applicable,,27±2°C,7-10 days,Not applicable,Not applicable,mycelium,Microwave method used for rapid extraction of DNA.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,Coprinellus disseminatus,Not applicable,Not applicable,,27±2°C,7-10 days,Not applicable,Not applicable,mycelium,Microwave method used for rapid extraction of DNA.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,Lentinus squarrosulus,Not applicable,Not applicable,,27±2°C,7-10 days,Not applicable,Not applicable,mycelium,Microwave method used for rapid extraction of DNA.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,Coriolus versicolor (MTCC138),Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Mycelium,Reference strain used for comparison.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,AGUM004,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yield of DNA 238.1±1.64 ηg/µl using different methods.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,AGUM007,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yield of DNA 128.1±1.78 ηg/µl using different methods.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,AGUM011,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yield of DNA 339.7±0.91 ηg/µl using different methods.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,AGUM021,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yield of DNA 122.3±1.87 ηg/µl using different methods.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,KONA001,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yield of DNA 152.8±2.62 ηg/µl using different methods.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,BANG001,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yield of DNA 165.3±1.07 ηg/µl using different methods.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,TAMI004,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yield of DNA 99.8±0.3 ηg/µl using different methods.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,MTCC149,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yield of DNA 110.7±1.52 ηg/µl using different methods.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
,MTCC1039,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yield of DNA 87.5±1.22 ηg/µl using different methods.,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt
Poly R4478,Trametes versicolor,0.1 g/l,Not specified,None specified,28 °C,14 days,Not specified,Complete decolorization,,"BBEL0901, BBEL0902, BBEL0958, BBEL0973 showed high abilities to completely decolorize within 2 weeks.",Fed-batch+decolourisation+of+poly+R+478+by+Trametes+versicolor_.txt
Azure B,Trametes versicolor,0.1 g/l,Not specified,None specified,28 °C,14 days,Not specified,Complete decolorization,,All strains that decolorized Poly R4478 could also degrade azure B.,Fed-batch+decolourisation+of+poly+R+478+by+Trametes+versicolor_.txt
Guaiacol,Trametes versicolor,0.1 g/l,Not specified,None specified,28 °C,4 days,Not specified,Reddish-brown halo indicates oxidation,,"Strains BBEL0901, BBEL0902, BBEL0970 showed significant guaiacol oxidation.",Fed-batch+decolourisation+of+poly+R+478+by+Trametes+versicolor_.txt
,Trametes versicolor BBEL0970,,Not specified,Shaking (150 rpm),28 °C,24 days,Not specified,Not applicable,,Laccase production was maximal at 10.3 U/ml on the 20th day.,Fed-batch+decolourisation+of+poly+R+478+by+Trametes+versicolor_.txt
,Trametes versicolor BBEL0970,,Not specified,None specified,Not specified,Not specified,"Varied, optimal at 2.5",Not applicable,,Laccase activity preference was noted under acidic conditions with optimal range from 1.8 to 4.0.,Fed-batch+decolourisation+of+poly+R+478+by+Trametes+versicolor_.txt
difficult to remove melanoidin,Citeromyces siamensis,1% glucose,,200 rpm shaker,30 degrees Celsius,7 days,,best color loss,whole fungi,Measured color intensity with spectrophotometer at wavelength 660 nm.,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt
difficult to remove melanoidin,Citeromyces siamensis,1% peptone,,200 rpm shaker,30 degrees Celsius,7 days,,best color removal efficiency,whole fungi,,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt
difficult to remove melanoidin,Issatchenkia orientalis,1% glucose,,200 rpm shaker,30 degrees Celsius,7 days,,best color loss,whole fungi,Measured color intensity with spectrophotometer at wavelength 660 nm.,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt
difficult to remove melanoidin,Issatchenkia orientalis,1% peptone,,200 rpm shaker,30 degrees Celsius,7 days,,best color removal efficiency,whole fungi,,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt
difficult to remove melanoidin,Saccharomyces cerevisiae,1% yeast extract,,200 rpm shaker,30 degrees Celsius,7 days,,effective in reducing color,whole fungi,Measured color intensity with spectrophotometer at wavelength 660 nm.,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt
difficult to remove melanoidin,Citeromyces siamensis,2% glucose,,200 rpm shaker,30 degrees Celsius,7 days,,lower color removal,whole fungi,,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt
difficult to remove melanoidin,Issatchenkia orientalis,2% glucose,,200 rpm shaker,30 degrees Celsius,7 days,,lower color removal,whole fungi,,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt
difficult to remove melanoidin,Saccharomyces cerevisiae,2% glucose,,200 rpm shaker,30 degrees Celsius,7 days,,lower color removal,whole fungi,,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt
difficult to remove melanoidin,Citeromyces siamensis,3% glucose,,200 rpm shaker,30 degrees Celsius,7 days,,lower color removal,whole fungi,,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt
difficult to remove melanoidin,Issatchenkia orientalis,3% glucose,,200 rpm shaker,30 degrees Celsius,7 days,,lower color removal,whole fungi,,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt
difficult to remove melanoidin,Saccharomyces cerevisiae,3% glucose,,200 rpm shaker,30 degrees Celsius,7 days,,lower color removal,whole fungi,,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt
Acid Orange 20 (AO20),Agaricus bisporus,0.1 mM,0.6 μg,not specified,30°C,24 h,3,+++ (71-100%),whole fungi,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt
Acid Orange 20 (AO20),Agaricus bisporus,0.1 mM,0.6 μg,not specified,30°C,24 h,5,+++ (71-100%),whole fungi,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt
Acid Orange 20 (AO20),Agaricus bisporus,0.1 mM,0.6 μg,not specified,30°C,24 h,7,++ (41-70%),whole fungi,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt
Direct Blue 1 (DB1),Agaricus bisporus,0.1 mM,0.6 μg,not specified,30°C,24 h,3,++ (41-70%),whole fungi,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt
Direct Blue 1 (DB1),Agaricus bisporus,0.1 mM,0.6 μg,not specified,30°C,24 h,5,++ (41-70%),whole fungi,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt
Direct Blue 1 (DB1),Agaricus bisporus,0.1 mM,0.6 μg,not specified,30°C,24 h,7,++ (41-70%),whole fungi,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt
Direct Blue 86 (DB86),Pleurotus salmoneostramineus,0.1 mM,0.6 μg,not specified,30°C,24 h,3,+++ (71-100%),whole fungi,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt
Direct Blue 86 (DB86),Pleurotus salmoneostramineus,0.1 mM,0.6 μg,not specified,30°C,24 h,5,+++ (71-100%),whole fungi,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt
Direct Blue 86 (DB86),Pleurotus salmoneostramineus,0.1 mM,0.6 μg,not specified,30°C,24 h,7,++ (41-70%),whole fungi,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt
Acid Black 194,Aspergillus flavus,0.05 g/L,1 disc (1 cm in diameter),not mentioned,24 C,8 days,7,85%,mycelium,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt
Acid Black 194,Aspergillus tamarii,0.05 g/L,1 disc (1 cm in diameter),not mentioned,24 C,8 days,7,91.15%,mycelium,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt
Acid Black 194,Aspergillus parasiticus,0.05 g/L,1 disc (1 cm in diameter),not mentioned,24 C,8 days,7,85.25%,mycelium,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt
Acid Black 194,Aspergillus flavus,unknown,2 discs,not mentioned,28 C,7 days,7,87.40%,mycelium,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt
Acid Black 194,Aspergillus tamarii,unknown,10 discs,not mentioned,24 C,7 days,7,85%,mycelium,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt
Acid Black 194,Aspergillus parasiticus,unknown,1 disc,not mentioned,unknown,unknown,unknown,95.20%,mycelium,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt
Acid Black 194,Aspergillus flavus,25 mg/L,1 disc (1 cm in diameter),not mentioned,unknown,unknown,unknown,87.30%,mycelium,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt
Acid Black 194,Aspergillus tamarii,50 mg/L,1 disc (1 cm in diameter),not mentioned,unknown,unknown,unknown,92.50%,mycelium,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt
Acid Black 194,Aspergillus parasiticus,50 mg/L,1 disc (1 cm in diameter),not mentioned,unknown,unknown,unknown,96.40%,mycelium,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt
Acid Black 194,unknown,150 mg/L,unknown,not mentioned,unknown,unknown,unknown,"21.9% (A.flavus), 42.7% (A.tamarii)",unknown,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt
Acid Black 194,Aspergillus parasiticus,150 mg/L,unknown,not mentioned,unknown,unknown,unknown,up to 62.6%,mycelium,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt
Malachite green,Phanerochaete chrysosporium,64 µM,Not specified,Static (for liquid cultures),28°C,Inhibition observed during growth,5.6 (agar medium),No growth observed,Whole fungi,Highly sensitive to dye; unable to grow on solid media.,Malignant+transformation+by+malachite+green_.txt
Malachite green,Fomes sclerodermeus,128 µM,Not specified,Static (for liquid cultures),28°C,9 days,5.6 (agar medium),Able to grow and decolorize dye,Whole fungi,Filled half the plate after 9 days.,Malignant+transformation+by+malachite+green_.txt
Malachite green,Phanerochaete chrysosporium,32 µM,Not specified,Static (for liquid cultures),28°C,24 hours delay,5.6 (agar medium),Delayed growth; a colorless product was formed.,Whole fungi,Affected growth at 32 µM and below.,Malignant+transformation+by+malachite+green_.txt
Malachite green,Fomes sclerodermeus,16 µM,Not specified,Static (for liquid cultures),28°C,Observational period not specified,6.4 (liquid medium),Higher resistance; not significantly affected.,Whole fungi,No laccase production detected in Phanerochaete chrysosporium.,Malignant+transformation+by+malachite+green_.txt
Decolorized malachite green (DMG),Phanerochaete chrysosporium,"2, 10, 40 µM",Not specified,Static,28°C,7 days post inoculation,5.6 (agar medium),Non-toxic; similar growth kinetics as MEA.,Whole fungi,Results based on mean values from triplicate determinations.,Malignant+transformation+by+malachite+green_.txt
Malachite green,Coriolus versicolor f. antarcticus,16 µM,Not specified,Static,28°C,7 days,Not specified,Radial growth showed significant delay.,Whole fungi,Growth metrics provided for both MG and DMG.,Malignant+transformation+by+malachite+green_.txt
Congo Red,Phanerochaete chrysosporium,50 mg/L,5 x 10^10/L,static,30°C,48 hours,5.5,Not specified,whole fungi,Maximum MnP activity was 75 UI/L at 353 h,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt
Congo Red,Phanerochaete chrysosporium,500 mg/L,5 x 10^10/L,static,30°C,48 hours,5.5,43% degraded,whole fungi,Maximum MnP activity was 91 UI/L at 257 h,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt
Congo Red,Phanerochaete chrysosporium,1000 mg/L,5 x 10^10/L,static,30°C,48 hours,5.5,Not specified,whole fungi,Not specified,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt
Congo Red,Phanerochaete chrysosporium,5000 mg/L,5 x 10^10/L,static,30°C,48 hours,5.5,27.5% adsorption,whole fungi,Maximum adsorbed amount was 13.75 mg/g shells,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt
Congo Red,Phanerochaete chrysosporium,500 mg/L,5 x 10^10/L,170 rpm,30°C,24 hours,5.5,Not specified,whole fungi,Desorption did not occur,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt
Congo Red,Phanerochaete chrysosporium,500 mg/L,Not specified,170 rpm,30°C,24 hours,Not specified,43.75% degraded,whole fungi,Collected data from methanol extraction,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt
Congo Red,Phanerochaete chrysosporium,500 mg/L,Not specified,not specified,"39°C initially, then 30°C",until MnP activity reached zero,Not specified,Not specified,whole fungi,Used hazelnut shells as substrate,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt
Congo Red,Phanerochaete chrysosporium,100 mg/L,,shaking,,,,,whole fungi,Reported to decolorize Congo red,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt
Reactive Orange 16,Irpex lacteus,,,,,,,80%,whole fungi,Maximum decolorization reported,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt
Congo Red,Aspergillus niger,200 mg/L,,,,6 days,,,whole fungi,Reported to decolorize Congo red,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt
Reactive Red 31,Aspergillus bombycis,,,,,,,,whole fungi,Degradation ability reported,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt
Malachite Green,Aspergillus flavus,,,,,,,,whole fungi,Intermediate metabolites identified,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt
Cresol Red,Absidia spinosa,,,,,,,65%,whole fungi,Reported for biotransformation,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt
Congo Red,Trametes suaveolens,600 mg/L,,,,48 hours,,100%,whole fungi,Noted high efficiency,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt
Reactive Violet 5R,Current studies,,,,,,,,whole fungi,Ability to degrade noted,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt
Methylene Blue,Fusarium equiseti,,,,,,,,whole fungi,Reported degradation ability,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt
Remazol Brilliant Blue R,Myrothecium sp. IMER1,60 mg L-1,5 agar plugs (6 mm diameter),shaking,28°C,6 days,5.0-10.0,>65%,,Comparison with white-rot fungi showed a superior performance in the pH range.,Decolorization+of+anthraquinone-type+dye+by+bilirubin+oxidase-producing+non+ligninolytic+fungus+Myrothecium+sp.+IMER1_.txt
Remazol Brilliant Blue R,White-rot fungi,60 mg L-1,5 agar plugs (6 mm diameter),shaking,28°C,6 days,5.0-6.0,60-95%,,Less than 30% decolorization observed in basic pH range (8.0-10.0).,Decolorization+of+anthraquinone-type+dye+by+bilirubin+oxidase-producing+non+ligninolytic+fungus+Myrothecium+sp.+IMER1_.txt
Dye effluent,Myrothecium sp. IMER1,30% (v/v),5 agar plugs (6 mm diameter),shaking,28°C,defined intervals,7,73%,,UV-VIS spectra showed significant absorbance decrease.,Decolorization+of+anthraquinone-type+dye+by+bilirubin+oxidase-producing+non+ligninolytic+fungus+Myrothecium+sp.+IMER1_.txt
Dye effluent,Myrothecium sp. IMER1,30% (v/v),5 agar plugs (6 mm diameter),shaking,28°C,defined intervals,9,70%,,Significantly better than white-rot fungi under similar conditions.,Decolorization+of+anthraquinone-type+dye+by+bilirubin+oxidase-producing+non+ligninolytic+fungus+Myrothecium+sp.+IMER1_.txt
Methyl Orange,KV10,1 mg/ml,8mm diameter disc,shaking,28°C,96 hours,5.4,76%,whole fungi,High correlation between laccase production and decolorization,Degradation+of+dyes+by+white+rot+fungi_.txt
Methyl Orange,KV12,1 mg/ml,8mm diameter disc,shaking,28°C,96 hours,5.4,79%,whole fungi,High correlation between laccase production and decolorization,Degradation+of+dyes+by+white+rot+fungi_.txt
Rhodamine-B,KV10,1 mg/ml,8mm diameter disc,shaking,28°C,96 hours,5.4,just more than 60%,whole fungi,High correlation between laccase production and decolorization,Degradation+of+dyes+by+white+rot+fungi_.txt
Rhodamine-B,KV12,1 mg/ml,8mm diameter disc,shaking,28°C,96 hours,5.4,just more than 60%,whole fungi,High correlation between laccase production and decolorization,Degradation+of+dyes+by+white+rot+fungi_.txt
Novacron Red,Leptosphaerulina sp.,200 ppm,4 cylinders,un-agitated,20-25 °C,15 days,as received,>90%,whole fungi,,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt
Remazol Black,Leptosphaerulina sp.,200 ppm,4 cylinders,un-agitated,20-25 °C,15 days,as received,>90%,whole fungi,,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt
Turquoise Blue,Leptosphaerulina sp.,200 ppm,4 cylinders,un-agitated,20-25 °C,15 days,as received,>90%,whole fungi,,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt
Remazol Black,Leptosphaerulina sp.,200 ppm,8 cylinders,150 rpm,25 °C,21 days,5,95.50%,whole fungi,,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt
Dyeing effluent,Leptosphaerulina sp.,200 ppm,8 cylinders,150 rpm,25 °C,21 days,5,90%,whole fungi,,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt
Novacron Red,Leptosphaerulina sp.,200 ppm,4 cylinders,150 rpm,25 °C,21 days,5,>85%,whole fungi,,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt
Turquoise Blue,Leptosphaerulina sp.,200 ppm,8 cylinders,150 rpm,25 °C,21 days,5,>90%,whole fungi,,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt
Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,shaking,37 °C,3 days,4.0-5.0,93.50%,whole fungi,Higher MnP enzymatic activity compared to suspension culture,White+rot+fungi%3A+an+ingenious+army+for+environmental+protection_.txt
Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,shaking,37 °C,6 days,"initially around 4.8, fluctuated up to 7.0",15%,whole fungi,"Highly contaminated, poor MnP activity",White+rot+fungi%3A+an+ingenious+army+for+environmental+protection_.txt
Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,shaking,37 °C,3 days,4.0-5.0,94%,whole fungi,No difference observed between non-sterile and sterile conditions,White+rot+fungi%3A+an+ingenious+army+for+environmental+protection_.txt
Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,shaking,37 °C,5 days,"initially around 4.8, fluctuated due to bacterial contamination",less than 20%,whole fungi,Turbidity due to bacterial contamination observed,White+rot+fungi%3A+an+ingenious+army+for+environmental+protection_.txt
,Agaricus blazei U2-4,,2.8 g/L nitrogen,static,28°C,21 days,5,Laccase activity: 43.8 U/mL,mycelium,Highest laccase activity in absence of copper,Induction+of+Laccase+Production+by+T.+pubescens_.txt
,Agaricus blazei U2-4,,0.28 g/L nitrogen,static,28°C,21 days,5,Laccase activity: 5.1 U/mL,mycelium,Lowest laccase activity,Induction+of+Laccase+Production+by+T.+pubescens_.txt
,Agaricus blazei U2-4,,2.8 g/L nitrogen + 150 µM copper,static,28°C,21 days,5,Laccase activity: 44.4 U/mL,mycelium,Copper increased laccase activity,Induction+of+Laccase+Production+by+T.+pubescens_.txt
