id,filename,status,baseline_dye_1_score,baseline_dye_2_score,baseline_dye_3_score,few_shot_dye_1_score,few_shot_dye_2_score,few_shot_dye_3_score,cot_dye_1_score,cot_dye_2_score,cot_dye_3_score
101609,Successful+treatment+of+the+toxic+serotonin+syndrome+with+chlorpromazine_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
101610,Biodegradation+and+bioremediation+of+hydrocarbons+in+extreme+environments_.txt,processed,0.2,0.7,0.1,0.3,0.8,0.4,0.2,0.2,0.3
101611,Studies+on+the+production+of+enzymes+by+white-rot+fungi+for+the+decolourisation+of+textile+dyes_.txt,processed,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
101612,Poly%28butylene+succinate%29%2Fbamboo+powder+blends+as+solid-phase+carbon+source+and+biofilm+carrier+for+denitrifying+biofilters+treating+wastewater+from+recirculating+aquaculture+system_.txt,processed,0.9,0.9,1.0,0.2,0.2,0.2,0.2,0.1,0.2
101613,How+to+Prepare+Biological+Samples+and+Live+Tissues+for+Scanning+Electron+Microscopy_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2
101614,Developmental+progression+to+infectivity+in+Trypanosoma+brucei+triggered+by+an+RNA-binding+protein_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1
101615,Biosorption+of+copper+by+inactivated+biomass+of+the+brown+seaweed+Sargassum+baccularia+immobilized+into+polyvinyl+alcohol+gel+beads_.txt,processed,1.0,0.8,0.8,0.7,0.4,0.8,0.8,0.3,0.6
101616,Decolourization+of+azo+dyes+by+Phanerochaete+chysosporium+and+Pleurotus+sajor-caju_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101617,Development+of+mutant+of+Trichoderma+citrinoviride+for+enhanced+production+of+cellulases_.txt,processed,0.2,0.8,0.1,0.2,0.2,0.2,0.1,0.1,0.1
101618,Artificial+sweetener+consumption+and+urinary+tract+tumors+in+Cordoba%2C+Argentina_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
101619,An+approach+to+correlate+tandem+mass+spectral+data+of+peptides+with+amino+acid+sequences+in+a+protein+database_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
101620,Characteristics+of+phosphorus+removal+from+wastewater+by+biofilm+sequencing+batch+reactor+%28SBR%29_.txt,processed,0.6,0.2,0.8,0.5,0.6,0.5,0.4,0.6,0.4
101621,Effect+of+diet+on+the+lipid+composition+of+wild+and+cultured+abalone_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
101622,Biological+nitrate+removal+using+wheat+straw+and+PLA+as+substrate_.txt,processed,0.1,0.1,0.1,0.2,0.3,0.3,0.1,0.1,0.1
101623,Removal+of+methylene+blue+dye+from+aqueous+solutions+by+neem+leaf+and+orange+peel+powder_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
101624,Bone+regeneration+by+basic+fibroblast+growth+factor+complexed+with+biodegradable+hydrogels_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
101625,Decolourization+of+direct+blue+15+by+Fenton%2Fultrasonic+process+using+a+zero-valent+iron+aggregate+catalyst_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
101626,Photodegradation+of+commercial+dye%2C+CI+Reactive+Blue+160+using+ZnO+nanopowder%3A+Degradation+pathway+and+identification+of+intermediates+by+GC%2FMS_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101627,Investigation+of+rate-determination+factors+in+the+microbial+reduction+of+azo+dyes_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
101628,Adsorption+of+lead%28II%29+and+chromium%28VI%29+from+aqueous+environment+onto+metal%E2%80%93organic+framework+MIL-100%28Fe%29%3A+synthesis%2C+kinetics%2C+equilibrium+and+thermodynamics_.txt,processed,0.8,0.1,0.2,0.2,0.2,0.3,0.1,0.1,0.3
101629,Anaerobic%2Faerobic+treatment+of+selected+azo+dyes+in+wastewater_.txt,processed,1.0,1.0,0.8,0.9,0.9,0.8,0.8,1.0,0.6
101630,Studies+on+the+diatom+genera+Gyrosigma+and+Pleurosigma+%28Bacillariophyceae%29%3A+Pleurosigma+strigosum+W.+Smith+and+some+presumptive+relatives_.txt,processed,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2
101631,Electro-Fenton+method+for+the+removal+of+methyl+red+in+an+efficient+electrochemical+system_.txt,processed,0.9,1.0,1.0,0.8,0.9,0.9,1.0,0.8,0.9
101632,Closest+protein+matches+to+isolated+sequences_.txt,processed,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0
101633,Identification%2C+Isolation+and+Characterization+of+a+Novel+Azoreductase+from+Clostridium+Perfringens_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,0.9,1.0,1.0
101634,Distribution+of+microbes+producing+antimicrobial++%CE%B5-poly-L-lysine++polymers++in++soil++microflora++determined++by++a++novel+method_.txt,processed,0.8,0.8,0.6,0.4,0.5,0.4,0.2,0.5,0.3
101635,Settlement+and+early+growth+of+the+abalone+Haliotis+rubra_.txt,processed,0.1,0.1,0.9,0.2,0.1,0.2,0.1,0.1,0.1
101636,Uptake+of+As+by+nanocrystalline+Al-hydroxysulfates+naturally+forming+along+a+mountainous+stream+in+the+Engadin+area_.txt,processed,0.8,0.8,0.8,0.4,0.2,0.7,0.1,0.1,0.2
101637,Biodegradation+of+triphenylmethane%2C+azo+dye+and+latex+rubber+by+actinomycetes_.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0
101638,Color+removal+from+cotton+textile+industry+wastewater+in+an+activated+sludge+system+with+various+additives_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
101639,Biofilm+development+dynamics+and+pollutant+removal+performance+of+ceramsite+made+from+drinking-water+treatment+sludge_.txt,processed,0.9,0.9,1.0,0.8,0.3,0.8,0.7,0.8,0.9
101640,Degradation+of+nitrophenols+by+Fenton+and+photo-Fenton+processes_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9
101641,Purification+and+characterization+of+a+temperature-and+pH-stable+laccase+from+the+spores..._.txt,processed,0.7,0.9,1.0,0.8,0.8,0.9,0.9,0.8,0.8
101642,The+role+of+intestinal+bacteria+in+the+metabolism+of+salicylazosulfapyridine_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
101643,Purification+and+partial+characterization+of+azoreductases_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0
101644,Diatoms+from+Sugao-numa+%28Sugao+Swamp%29+in+Ibaragi+Prefecture%2C+central+Japan_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.5,0.1,0.1,0.1
101645,Bacterial+decolorization+and+degradation+of+azo+dyes%3A+A+review_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101646,Remediation+of+dyes+in+textile+effluent%3A+a+critical+review+on+current..._.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101647,Denitrification+of+groundwater+using+PHBV+blends+in+packed+bed+reactors+and+the+microbial+diversity_.txt,processed,0.9,0.7,0.9,0.2,0.2,0.3,0.2,0.2,0.3
101648,The+deep+sea+is+a+major+sink+for+microplastic+debris_.txt,processed,0.8,0.8,0.1,0.2,0.2,0.2,0.1,0.1,0.1
101649,Removal+of+Pb%28II%29+ions+from+aqueous+solution+by+adsorption+using+bael+leaves+%28Aegle+marmelos%29_.txt,processed,0.9,0.9,1.0,0.2,0.2,0.2,0.2,0.5,0.5
101650,Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.9,0.9
101651,Solubility+Product+Constants+for+Solution+at+or+near+Room+Temperature_.txt,processed,1.0,0.9,1.0,0.7,0.9,0.8,0.2,0.5,0.4
101652,Inferring+the+evolutionary+relationship+of+23+Malaysian+Rhodococcus+isolates+with+potential+as+cholesterol+degrading+bacteria_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
101653,Adsorptive+and+photocatalytic+removal+of+reactive+dyes+by+silver+nanoparticle-colemanite+ore+waste_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101654,Integrating+filamentous+%E2%80%98green+tide%E2%80%99+algae+into+tropical+pond-based+aquaculture_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2
101655,Standards+of+Industrial+Effluents+Quality+due+to+Ministry+of+Industry%E2%80%99s+Regulations_.txt,processed,0.9,0.9,0.8,0.8,0.8,0.8,0.3,0.3,0.2
101656,Decolorization%2C+degradation+and+azo-reductase+study+by+bacterial+transformation+of+reactive+red+HE8b_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101657,Optimization+for+enhanced+ecofriendly+decolorization+and+detoxification+of+Reactive+Blue160..._.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101658,Adsorption+of+Cu%28II%29+and+Ni%28II%29+using+a+Novel+Xanthated+Carboxymethyl+Chitosan_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.5,0.1
101659,Biodegradation+of+benzidine+based+dye+direct-blue+6+by+Pseudomonas+desmolyticum+NCIM+2112_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101660,Angiogenesis+in+health+and+disease_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1
101661,Real-time+monitoring+of+an+industrial+batch+process_.txt,processed,0.4,0.3,0.2,0.3,0.4,0.2,0.2,0.2,0.2
101662,Effect+of+nitrogen+source+and+acclimatization+on+specific+growth+rates+of+microalgae+determined+by+a+high-throughput+in+vivo+microplate+autofluorescence+method_.txt,processed,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.1,0.1
101663,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
101664,Microplastic+ingestion+decreases+energy+reserves+in+marine+worms_.txt,processed,0.2,0.4,0.1,0.3,0.4,0.3,0.1,0.1,0.3
101665,Biodegradation+of+synthetic+dyes+by+bacteria_.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0
101666,Tissue+engineering_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1
101667,Biodegradation+of+azo+dyes+by+Citrobacter+species_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0
101668,Biomass+and+total+lipid+content+and+composition+of+twelve+species+of+marine+diatoms+cultured+under+various+environments_.txt,processed,0.3,0.3,1.0,0.3,0.4,0.3,0.2,0.3,0.8
101669,Purification+and+partial+characterization+of+two+azoreductases+from+Shigella+dysenteriae+Type+1_.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.9,1.0
101670,Ecstasy+intoxication%3A+an+overlap+between+serotonin+syndrome+and+neuroleptic+malignant+syndrome_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
101671,The+Ames+Salmonella+%2F+microsome+mutagenicity+assay_.txt,processed,0.1,0.1,0.1,0.3,0.2,0.2,0.1,0.2,0.1
101672,Decolorization+of+triphenylmethane%2C+azo+and+anthraquinone+dyes+by+a+newly+isolated+Aeromonas+hydrophila+strain_.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,0.9,1.0,1.0
101673,Biological+tertiary+treatment+of+urban+wastewaters+with+chitosan-immobilized+Phormidium_.txt,processed,0.9,1.0,1.0,0.9,0.9,0.9,0.8,0.9,0.9
101674,The+Hunter+serotonin+toxicity+criteria%3A+simple+and+accurate+diagnostic+decision+rules+for+serotonin+toxicity_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
101675,Decolorization+of+azo+dyes+by+various+bacterial+strains_.txt,processed,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
101676,Implementation+of+the+Anammox+Process+for+Improved+Nitrogen+Removal_.txt,processed,0.7,0.1,0.1,0.2,0.3,0.3,0.1,0.1,0.2
101677,Biological+designer+self-assembling+peptide+nanofiber+scaffolds+significantly+enhance+osteoblast+proliferation%2C+differentiation+and+3-D+migration_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.1
101678,Photodegradation+of+organic+dyes+using+photocatalyst_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101679,Functional+characterization+of+an+oxygen-insensitive+azoreductase+from+Pseudomonas+Aeruginosa_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101680,Biodegradable+polymers+as+solid+substrate+and+biofilm+carrier+for+denitrification+in+RAS_.txt,processed,0.8,0.9,0.8,0.6,0.6,0.4,0.6,0.6,0.5
101681,Naphthalene_.txt,processed,0.1,0.1,0.1,0.3,0.2,0.2,0.1,0.1,0.3
101682,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,processed,0.2,0.5,0.4,0.8,0.6,0.8,0.5,0.2,0.5
101683,Diazepam+and+chlormethiazole+attenuate+the+development+of+hyperthermia+in+an+animal+model+of+the+serotonin+syndrome_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1
101684,The+classification+of+dyes+by+chemical+structure_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
101685,Multi-way+partial+least+squares+in+monitoring+batch+processes_.txt,processed,0.1,0.2,0.1,0.3,0.2,0.3,0.2,0.2,0.2
101686,Enhanced+removal+of+reactive+navy+blue+dye+using+powdered+orange+waste_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
101687,Mutagenicity+testing+of+some+commonly+used+dyes_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,0.9
101688,Stabilization+of+metallic+supercooled+liquid+and+bulk+amorphous+alloys_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
101689,Cyproheptadine+for+serotonin+syndrome+in+an+accidental+pediatric+sertraline+ingestion_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
101690,Case-control+study+of+hair+dye+use+by+patients+with+breast+cancer+and+endometrial+cancer_.txt,processed,1.0,0.9,0.8,0.1,0.2,0.3,0.4,0.4,0.2
101691,Purification+and+identification+of+an+FMN-dependent+NAD%28P%29H+azoreductase_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
101692,Laccases+and+Phenol+Oxidases+in+Organic+Synthesis+-+a+Review_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.3,0.1,0.1,0.1
101693,J.+Adv.+Oxid.+Technol._.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9,0.9
101694,Introduction+to+Algorithms_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
101695,Statistical+optimization+for+decolorization+of+textile+dyes+using+Trametes+versicolor_.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0
101696,Interaction+Between+a+Bubble+Plume+and+the+Near+Field+in+a+Stratified+Lake_.txt,processed,0.7,0.6,0.1,0.3,0.4,0.3,0.2,0.1,0.2
101697,Cloning+and+Characterization+of+AnigAP+from+Aspergillus+niger+van+Teighem+MTCC+F0101_.txt,processed,1.0,1.0,1.0,0.8,0.9,0.8,0.9,0.9,1.0
101698,Decolorization+of+triphenylmethane+dyes+by+Kurthia+sp._.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
101699,Acute+toxicity+removal+in+textile+finishing+wastewater+by+Fenton%E2%80%99s+oxidation%2C+ozone+and+coagulation-flocculation+process_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
101700,The+International+Protein+Index%3A+An+integrated+database+for+proteomics+experiments_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
101701,Kinetic+study+approach+of+remazol+black-B+use+for+the+development+of+two-stage+anoxic-oxic+reactor+for+decolorization%2Fbiodegradation+of+azo+dyes+by+activated+bacterial+consortium_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101702,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101703,Mutagenicity+of+commercial+hair+dyes+and+detection+of+2%2C7-diaminophenazine_.txt,processed,1.0,1.0,1.0,0.8,0.9,0.9,0.4,0.8,0.7
101704,Pestic.+Sci._.txt,processed,0.5,0.6,0.5,0.5,0.3,0.5,0.3,0.7,0.6
101705,Arsenic+removal+in+manganese-containing+groundwater_.txt,processed,1.0,0.9,1.0,0.3,0.3,0.3,0.2,0.3,0.3
101706,Performance+of+the+Iron-Carbon+Coupling+Constructed+Wetland+for+Rural+Sewage+Treatment_.txt,processed,0.9,1.0,1.0,0.3,0.8,0.8,0.9,0.7,0.8
101707,Enrichment+and+isolation+of+naphthalene+sulfonic+acidutilizing+pseudomonads_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101708,Removal+of+Cd%28II%29+by+adsorption+on+agricultural+waste+biomass_.txt,processed,1.0,1.0,1.0,0.3,0.2,0.2,0.2,0.2,0.2
101709,Kinetics+of+decolourisation+and+biotransformation+of+direct+black+38+by+C.+hominis+and+P.+stutzeri_.txt,processed,0.8,0.5,0.6,0.8,0.7,0.8,0.7,0.3,0.5
101710,Effect+of+operating+parameters+on+decolorization+and+COD+removal+of+three+reactive+dyes+by+Fenton%E2%80%99s+reagent+using+fluidized-bed+reactor_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101711,Predicting+Azo+Dye+Toxicity_.txt,processed,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0
101712,Missing+data+methods+in+PCA+and+PLS%3A+Score+calculations+with+incomplete+observations_.txt,processed,0.1,0.1,0.1,0.2,0.3,0.2,0.1,0.1,0.1
101713,Anaerobic+decolorisation+of+reactive+dyes+in+conventional+sewage-treatment+processes_.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
101714,Color+in+textile+effluents+-+sources%2C+measurement%2C+discharge+consents+and+simulation%3A+a+review_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101715,Review+of+Emerging+Issues+in+Sediment+Treatment_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1
101716,Advanced+oxidation+processes+for+water+treatment_.txt,processed,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0
101717,The+pollution+of+the+marine+environment+by+plastic+debris%3A+A+review_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1
101718,Comparative+study+on+batch+equilibrium+biosorption+of+Cd%28II%29%2C+Pb%28II%29+and+Zn%28II%29+using+plantain+%28Musa+paradisiaca%29+flower_.txt,processed,1.0,1.0,1.0,0.8,0.9,1.0,0.1,0.3,0.1
101719,Nutrient+removal+in+hybrid+constructed+wetlands%3A+Spatial-seasonal+variation+and+the+effect+of+vegetation_.txt,processed,1.0,0.9,1.0,0.3,0.8,0.2,0.8,0.8,0.9
101720,Mechanistic+insight+into+the+function+of+the+c-terminal+PKD+domain+of+the+collagenolytic+serine+protease+deseasin+MCP-01_.txt,processed,0.9,1.0,1.0,0.3,0.3,0.3,0.1,0.3,0.3
101721,Secondary+settling+tanks%3A+theory%2C+modelling%2C+design+and+operation_.txt,processed,0.1,0.8,0.1,0.3,0.2,0.2,0.3,0.1,0.2
101722,Monoamine+Oxidase+Inhibitors_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
101723,Isolation+and+identification+of+diisopropylnaphthalene+isomers+in+the+alkylation+products+of+naphthalene_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
101724,Batch+removal+of+Acid+Blue+292+dye+by+biosorption+onto+Lemna+minor%3A+equilibrium+and+kinetic+studies_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101725,Drug+interactions+of+clinical+significance+with+selective+serotonin+reuptake+inhibitors_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
101726,Marine+debris+in+the+North+Pacific%3A+A+summary+of+existing+information+and+identification+of+data+gaps_.txt,processed,0.9,0.7,1.0,0.3,0.2,0.3,0.1,0.1,0.1
101727,Neuroleptic+malignant+syndrome%3A+mechanisms%2C+interactions%2C+and+causality_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
101728,Transformation+of+cerium+dioxide+nanoparticles+during+incineration+of+sewage+sludge_.txt,processed,0.2,0.2,0.1,0.3,0.3,0.4,0.2,0.1,0.3
101729,Sublingual+olanzapine+for+the+treatment+of+serotonin+syndrome_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
101730,Decolorization%2C+degradation+and+detoxification+of+carcinogenic+sulfonated+azo+dye+methyl+or.._.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0
101731,Effect+of+sawdust+dosage+and+hydraulic+retention+time+%28HRT%29+on+nitrate+removal+in+sawdust%2Fpyrite+mixotrophic+denitrification+%28SPMD%29+systems_.txt,processed,1.0,0.8,0.8,0.2,0.3,0.3,0.3,0.2,0.2
101732,Solar+photocatalytic+degradation+of+methylene+blue+in+carbon-doped+TiO2+nanoparticles+suspension_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,0.9,1.0,0.9
101733,Kinetics%2C+isotherms+and+thermodynamic+modeling+of+liquid+phase+adsorption+of+Rhodamine+B+dye+onto+Raphia+hookerie+fruit+epicarp_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
101734,Biological+treatment+of+textile+%26+dye+%E2%80%93stuff+with+a+special+emphasis+on+triphenylmethane+dyes_.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.9,1.0
101735,Wastewater+Technology+Fact+Sheet+Sequencing+Batch+Reactors_.txt,processed,0.6,0.4,0.2,0.6,0.7,0.7,0.5,0.5,0.4
101736,Degradation+of+anthraquinone+dye+C.I.+Reactive+Blue+19+in+aqueous+solution+by+ozonation_.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0
101737,Activated+sludge+model+no.+3_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,1.0
101738,Decolonization+of+azo+and+triphenylmethane+dyes+by+Pycnoporus+sanguineus+producing+laccase+as+the+sole+phenol+oxidase_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
101739,Supervisory+control+of+wastewater+treatment+plants+by+combining+principal+component+analysis+and+fuzzy+c-means+clustering_.txt,processed,0.2,0.3,0.4,0.4,0.3,0.3,0.5,0.2,0.5
101740,Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,processed,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
101741,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
101742,Decolorization+and+degradation+of+Azo+dye-Remazol+Black+B+by+newly+isolated+Pseudomonas+putida_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101743,Separation%2C+purification+and+characterization+of+dye+degrading+enzyme+azoreductase+from+bacterial+isolates_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
101744,Nonconvulsive+status+epilepticus%3A+the+role+of+morphine+and+its+antagonists_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
101745,Some+properties+of+azoreductase+produced+by+Pseudomonas+cepacia_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101746,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101747,Degradation+and+mineralization+of+Direct+Blue+71+using+UV%2FTiO2+process_.txt,processed,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0
101748,The+risk+of+second+primary+malignancies+up+to+three+decades+after+the+treatment+of+differentiated+thyroid+cancer_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
101749,Fast+learning+in+networks+of+locally-tuned+processing+units_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1
101750,On+the+sessile+diatoms+in+the+brackish+water+area+of+the+River+Yodo.+II._.txt,processed,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1
101751,Aerobic+denitrifiers+with+petroleum+metabolizing+ability+isolated+from+caprolactam+sewage+treatment+pool_.txt,processed,1.0,0.9,1.0,0.8,0.3,0.7,0.8,0.8,0.8
101752,Biodegradation+of+the+textile+dyes+by+newly+isolated+bacterial+strains_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101753,KEGG+resource+for+genome+deciphering_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
101754,Geogenic+contaminants+in+groundwater+resources+of+Amazonian+riverine+communities_.txt,processed,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.1,0.1
101755,In+vitro+degradation+of+porous+poly%28L-lactic+acid%29+foams_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1
101756,Chemical+reduction+and+oxidation+combined+with+biodegradation+for+the+treatment+of+a+textile+dye_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101757,Non-enzymatic+reduction+of+azo+dyes+by+NADH_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
101758,Tensor+Decomposition+for+Multiple-Instance+Classification+of+High-Order+Medical+Data_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1
101759,Oxidation+of+non-crystalline+U%28IV%29%3A+role+of+reduced+sulfur_.txt,processed,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.1
101760,Decolorization+of+Navitan+fast+blue+S5R+by+Pseudomonas+aeruginosa_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101761,Incidence+rates+of+salivary+gland+tumors%3A+results+from+a+population-based+study_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
101762,The+removal+of+color+from+textile+wastewater+using+whole+bacterial+cells%3A+a+review_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101763,Decolorization+of+triphenylmethane+dyes+by+Citrobacter+species_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
101764,Transfer+of+electrons+across+the+cytoplasmic+membrane+by+DsbD_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
