id,filename,baseline_newexpt_1_score,baseline_newexpt_2_score,baseline_newexpt_3_score,few_shot_newexpt_1_score,few_shot_newexpt_2_score,few_shot_newexpt_3_score,cot_newexpt_1_score,cot_newexpt_2_score,cot_newexpt_3_score
101586,Serotonin+syndrome+in+a+child+after+a+single+dose+of+fluvoxamine_.txt,2,3,1,2,3,3,1,3,4
101587,Decolorization+of+azo+dyes+by+Fenton+and+photo-Fenton+processes_.txt,10,10,10,9,9,9,10,10,10
101588,Science%2C+97%2C+405+%281943%29_.txt,10,10,10,9,9,9,10,10,10
101589,Biodecolourisation+of+textile+dyes+by+local+microbial+consortia+isolated+from+dye-polluted+soils+in+Ngaoundere+%28Cameroon%29_.txt,9,10,10,9,9,9,10,10,10
101590,Stability+of+the+ANAMMOX+process+in+a+gas-lift+reactor+and+a+SBR_.txt,10,10,9,9,9,9,9,9,9
101591,Interaction+of+tween+80+with+cell+membranes_.txt,1,1,1,2,2,2,1,2,2
101592,Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes_.txt,10,10,10,9,9,9,10,10,10
101593,Effect+of+temperature+and+pH+on+the+biodegradation+of+azo+dyes+by+various+bacteria_.txt,10,10,10,9,9,9,9,9,9
101594,J.+Biol.+Chem.%2C+189%2C+843+%281941%29_.txt,10,10,10,9,9,9,10,10,10
101595,Relative+toxicity+and+resource+utilisation+in+antidepressant+self+poisoning%3A+Tricyclics+vs+selective+serotonin+reuptake+inhibitors_.txt,1,1,1,2,2,2,2,1,4
101596,Purification+and+some+properties+of+new+coccine+%28NC%29-reductase+from+Bacillus+cereus+T-105+strain_.txt,1,1,1,1,1,1,1,1,1
101597,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt,10,10,10,9,9,9,9,10,9
101598,Types+and+sources+of+marine+debris+in+Fog+Bay%2C+Northern+Australia_.txt,1,1,1,2,2,2,2,1,2
101599,Methylmercury+distribution+and+formation+in+polluted+agricultural+floodplain+soils_.txt,9,9,8,9,9,8,8,8,9
101600,Identification+and+characterization+of+genetic+elements+from+Amycolatopsis+species+contributing+to+triphenylmethane+decolorization_.txt,10,10,10,9,10,10,10,10,10
101601,Biodegradation+and+biosorption+of+acid+anthraquinone+dye_.txt,10,10,10,9,9,9,10,10,10
101602,Review+paper+on+current+technologies+for+decolourisation+of+textile+wastewater_.txt,1,1,1,2,2,2,1,1,1
101603,Impact+of+substrate+type%2C+depth+and+retention+time+on+organic+matter+removal+in+vertical+subsurface+flow+constructed+wetland+mesocosms+for+treating+slaughterhouse+wastewater_.txt,10,9,10,9,9,9,10,10,10
101604,Tidal+resuspension+of+microphytobenthic+chlorophyll+a+in+a+Nanaura+mudflat%2C+Saga%2C+Ariake+Sea%2C+Japan%3A+Flood-ebb+and+spring-neap+variations_.txt,10,8,10,9,8,3,8,7,8
101605,Response+surface+methodology+for+optimization+of+medium+for+decolorization+of+textile+dye+Direct+Black+22+by+a+novel+bacterial+consortium_.txt,10,10,10,9,9,8,8,9,8
101606,Mechanisms+of+azo+reduction+by+Streptococcus+faecalis.+II.+The+role+of+soluble+flavins_.txt,10,10,10,9,9,9,10,10,10
101607,Improved+conditions+for+the+aerobic+reductive+decolourization+of+azo+dyes+by+Candida+zeylamoides_.txt,10,10,10,9,9,9,9,10,10
101608,Indolequinone+antitumor+agents%3A+correlation+between+quinone+structure%2C+rate+of+meta..._.txt,1,1,1,2,2,2,2,5,3
101609,Successful+treatment+of+the+toxic+serotonin+syndrome+with+chlorpromazine_.txt,10,8,9,8,5,7,8,7,5
101610,Biodegradation+and+bioremediation+of+hydrocarbons+in+extreme+environments_.txt,1,1,1,2,2,2,7,8,6
101611,Studies+on+the+production+of+enzymes+by+white-rot+fungi+for+the+decolourisation+of+textile+dyes_.txt,10,10,9,9,9,9,10,10,10
101612,Poly%28butylene+succinate%29%2Fbamboo+powder+blends+as+solid-phase+carbon+source+and+biofilm+carrier+for+denitrifying+biofilters+treating+wastewater+from+recirculating+aquaculture+system_.txt,10,10,10,9,9,9,10,9,10
101613,How+to+Prepare+Biological+Samples+and+Live+Tissues+for+Scanning+Electron+Microscopy_.txt,10,10,10,9,9,9,10,9,10
101614,Developmental+progression+to+infectivity+in+Trypanosoma+brucei+triggered+by+an+RNA-binding+protein_.txt,10,10,10,9,9,9,9,9,10
101615,Biosorption+of+copper+by+inactivated+biomass+of+the+brown+seaweed+Sargassum+baccularia+immobilized+into+polyvinyl+alcohol+gel+beads_.txt,10,10,10,9,9,9,10,10,10
101616,Decolourization+of+azo+dyes+by+Phanerochaete+chysosporium+and+Pleurotus+sajor-caju_.txt,1,1,1,2,2,2,2,2,1
101617,Development+of+mutant+of+Trichoderma+citrinoviride+for+enhanced+production+of+cellulases_.txt,10,10,10,9,9,9,10,9,10
101618,Artificial+sweetener+consumption+and+urinary+tract+tumors+in+Cordoba%2C+Argentina_.txt,1,5,2,2,2,2,2,2,2
101619,An+approach+to+correlate+tandem+mass+spectral+data+of+peptides+with+amino+acid+sequences+in+a+protein+database_.txt,1,1,1,2,1,2,5,1,1
101620,Characteristics+of+phosphorus+removal+from+wastewater+by+biofilm+sequencing+batch+reactor+%28SBR%29_.txt,7,3,8,3,3,2,8,9,8
101621,Effect+of+diet+on+the+lipid+composition+of+wild+and+cultured+abalone_.txt,10,10,10,9,9,9,10,9,10
101622,Biological+nitrate+removal+using+wheat+straw+and+PLA+as+substrate_.txt,1,1,1,2,2,2,1,2,2
101623,Removal+of+methylene+blue+dye+from+aqueous+solutions+by+neem+leaf+and+orange+peel+powder_.txt,10,10,10,9,9,9,10,10,10
101624,Bone+regeneration+by+basic+fibroblast+growth+factor+complexed+with+biodegradable+hydrogels_.txt,10,10,10,9,9,9,10,10,10
101625,Decolourization+of+direct+blue+15+by+Fenton%2Fultrasonic+process+using+a+zero-valent+iron+aggregate+catalyst_.txt,10,10,10,9,9,9,10,10,10
101626,Photodegradation+of+commercial+dye%2C+CI+Reactive+Blue+160+using+ZnO+nanopowder%3A+Degradation+pathway+and+identification+of+intermediates+by+GC%2FMS_.txt,10,10,10,9,9,9,10,10,10
101627,Investigation+of+rate-determination+factors+in+the+microbial+reduction+of+azo+dyes_.txt,10,10,9,9,9,9,10,10,9
101628,Adsorption+of+lead%28II%29+and+chromium%28VI%29+from+aqueous+environment+onto+metal%E2%80%93organic+framework+MIL-100%28Fe%29%3A+synthesis%2C+kinetics%2C+equilibrium+and+thermodynamics_.txt,10,10,10,9,9,9,9,9,10
101629,Anaerobic%2Faerobic+treatment+of+selected+azo+dyes+in+wastewater_.txt,1,1,5,2,2,2,1,1,2
101630,Studies+on+the+diatom+genera+Gyrosigma+and+Pleurosigma+%28Bacillariophyceae%29%3A+Pleurosigma+strigosum+W.+Smith+and+some+presumptive+relatives_.txt,10,9,10,9,9,9,10,10,10
101631,Electro-Fenton+method+for+the+removal+of+methyl+red+in+an+efficient+electrochemical+system_.txt,10,10,10,10,9,9,10,10,10
101632,Closest+protein+matches+to+isolated+sequences_.txt,10,10,10,10,10,9,10,10,10
101633,Identification%2C+Isolation+and+Characterization+of+a+Novel+Azoreductase+from+Clostridium+Perfringens_.txt,10,10,10,9,9,9,10,10,10
101634,Distribution+of+microbes+producing+antimicrobial++%CE%B5-poly-L-lysine++polymers++in++soil++microflora++determined++by++a++novel+method_.txt,9,10,10,9,9,9,9,10,9
101635,Settlement+and+early+growth+of+the+abalone+Haliotis+rubra_.txt,10,10,10,9,9,9,10,10,10
101636,Uptake+of+As+by+nanocrystalline+Al-hydroxysulfates+naturally+forming+along+a+mountainous+stream+in+the+Engadin+area_.txt,9,9,10,9,9,9,8,9,9
101637,Biodegradation+of+triphenylmethane%2C+azo+dye+and+latex+rubber+by+actinomycetes_.txt,10,10,10,10,10,9,10,10,10
101638,Color+removal+from+cotton+textile+industry+wastewater+in+an+activated+sludge+system+with+various+additives_.txt,1,1,1,2,2,2,3,3,1
101639,Biofilm+development+dynamics+and+pollutant+removal+performance+of+ceramsite+made+from+drinking-water+treatment+sludge_.txt,10,10,10,9,9,9,10,10,10
101640,Degradation+of+nitrophenols+by+Fenton+and+photo-Fenton+processes_.txt,10,10,10,9,9,9,10,10,10
101641,Purification+and+characterization+of+a+temperature-and+pH-stable+laccase+from+the+spores..._.txt,10,10,10,9,9,9,10,10,10
101642,The+role+of+intestinal+bacteria+in+the+metabolism+of+salicylazosulfapyridine_.txt,1,1,1,1,1,2,1,1,1
101643,Purification+and+partial+characterization+of+azoreductases_.txt,10,10,10,9,9,9,9,9,8
101644,Diatoms+from+Sugao-numa+%28Sugao+Swamp%29+in+Ibaragi+Prefecture%2C+central+Japan_.txt,10,10,10,9,9,9,10,9,10
101645,Bacterial+decolorization+and+degradation+of+azo+dyes%3A+A+review_.txt,10,10,10,9,9,9,10,10,10
101646,Remediation+of+dyes+in+textile+effluent%3A+a+critical+review+on+current..._.txt,1,1,1,2,2,2,3,2,2
101647,Denitrification+of+groundwater+using+PHBV+blends+in+packed+bed+reactors+and+the+microbial+diversity_.txt,10,10,10,9,9,9,10,10,10
101648,The+deep+sea+is+a+major+sink+for+microplastic+debris_.txt,10,10,10,9,9,9,10,10,10
101649,Removal+of+Pb%28II%29+ions+from+aqueous+solution+by+adsorption+using+bael+leaves+%28Aegle+marmelos%29_.txt,10,10,10,9,9,9,10,10,10
101650,Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,10,10,10,9,9,9,10,10,10
101651,Solubility+Product+Constants+for+Solution+at+or+near+Room+Temperature_.txt,1,1,1,2,2,2,4,2,1
101652,Inferring+the+evolutionary+relationship+of+23+Malaysian+Rhodococcus+isolates+with+potential+as+cholesterol+degrading+bacteria_.txt,10,10,9,9,9,9,10,9,10
101653,Adsorptive+and+photocatalytic+removal+of+reactive+dyes+by+silver+nanoparticle-colemanite+ore+waste_.txt,10,10,10,9,9,9,10,10,10
101654,Integrating+filamentous+%E2%80%98green+tide%E2%80%99+algae+into+tropical+pond-based+aquaculture_.txt,1,1,1,2,2,1,1,1,1
101655,Standards+of+Industrial+Effluents+Quality+due+to+Ministry+of+Industry%E2%80%99s+Regulations_.txt,1,1,1,2,2,2,1,1,1
101656,Decolorization%2C+degradation+and+azo-reductase+study+by+bacterial+transformation+of+reactive+red+HE8b_.txt,10,10,9,9,9,9,9,8,5
101657,Optimization+for+enhanced+ecofriendly+decolorization+and+detoxification+of+Reactive+Blue160..._.txt,10,10,10,10,9,9,10,10,10
101658,Adsorption+of+Cu%28II%29+and+Ni%28II%29+using+a+Novel+Xanthated+Carboxymethyl+Chitosan_.txt,1,1,1,2,2,2,1,1,1
101659,Biodegradation+of+benzidine+based+dye+direct-blue+6+by+Pseudomonas+desmolyticum+NCIM+2112_.txt,10,10,10,9,9,9,10,10,10
101660,Angiogenesis+in+health+and+disease_.txt,1,1,1,2,2,2,3,3,2
101661,Real-time+monitoring+of+an+industrial+batch+process_.txt,9,10,10,9,9,9,9,9,9
101662,Effect+of+nitrogen+source+and+acclimatization+on+specific+growth+rates+of+microalgae+determined+by+a+high-throughput+in+vivo+microplate+autofluorescence+method_.txt,10,10,10,9,9,9,9,9,9
101663,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,10,10,10,9,9,9,10,10,10
101664,Microplastic+ingestion+decreases+energy+reserves+in+marine+worms_.txt,10,10,10,9,9,9,10,10,10
101665,Biodegradation+of+synthetic+dyes+by+bacteria_.txt,10,10,10,9,10,9,10,10,10
101666,Tissue+engineering_.txt,1,1,1,2,2,2,2,2,2
101667,Biodegradation+of+azo+dyes+by+Citrobacter+species_.txt,10,10,10,9,9,9,10,10,10
101668,Biomass+and+total+lipid+content+and+composition+of+twelve+species+of+marine+diatoms+cultured+under+various+environments_.txt,10,10,10,9,9,9,10,10,10
101669,Purification+and+partial+characterization+of+two+azoreductases+from+Shigella+dysenteriae+Type+1_.txt,10,10,10,9,9,9,10,10,10
101670,Ecstasy+intoxication%3A+an+overlap+between+serotonin+syndrome+and+neuroleptic+malignant+syndrome_.txt,1,1,1,2,2,2,2,3,2
101671,The+Ames+Salmonella+%2F+microsome+mutagenicity+assay_.txt,1,1,1,2,2,2,8,3,3
101672,Decolorization+of+triphenylmethane%2C+azo+and+anthraquinone+dyes+by+a+newly+isolated+Aeromonas+hydrophila+strain_.txt,10,10,10,9,9,9,9,9,10
101673,Biological+tertiary+treatment+of+urban+wastewaters+with+chitosan-immobilized+Phormidium_.txt,10,10,9,9,9,9,9,10,10
101674,The+Hunter+serotonin+toxicity+criteria%3A+simple+and+accurate+diagnostic+decision+rules+for+serotonin+toxicity_.txt,1,1,1,2,2,2,3,2,2
101675,Decolorization+of+azo+dyes+by+various+bacterial+strains_.txt,10,10,10,9,9,9,10,9,10
101676,Implementation+of+the+Anammox+Process+for+Improved+Nitrogen+Removal_.txt,9,6,8,8,8,8,8,8,8
101677,Biological+designer+self-assembling+peptide+nanofiber+scaffolds+significantly+enhance+osteoblast+proliferation%2C+differentiation+and+3-D+migration_.txt,8,7,6,8,7,8,9,8,9
101678,Photodegradation+of+organic+dyes+using+photocatalyst_.txt,10,10,10,9,9,9,10,10,10
101679,Functional+characterization+of+an+oxygen-insensitive+azoreductase+from+Pseudomonas+Aeruginosa_.txt,10,10,10,9,9,9,10,10,10
101680,Biodegradable+polymers+as+solid+substrate+and+biofilm+carrier+for+denitrification+in+RAS_.txt,1,1,1,2,2,2,2,2,2
101681,Naphthalene_.txt,1,1,1,2,2,2,2,2,1
101682,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,10,10,10,9,9,9,10,10,10
101683,Diazepam+and+chlormethiazole+attenuate+the+development+of+hyperthermia+in+an+animal+model+of+the+serotonin+syndrome_.txt,1,1,1,2,2,2,2,2,2
101684,The+classification+of+dyes+by+chemical+structure_.txt,1,1,1,2,1,2,1,1,1
101685,Multi-way+partial+least+squares+in+monitoring+batch+processes_.txt,10,9,10,8,9,9,7,8,8
101686,Enhanced+removal+of+reactive+navy+blue+dye+using+powdered+orange+waste_.txt,10,10,10,9,9,9,10,10,10
101687,Mutagenicity+testing+of+some+commonly+used+dyes_.txt,2,4,1,2,2,2,2,3,3
101688,Stabilization+of+metallic+supercooled+liquid+and+bulk+amorphous+alloys_.txt,10,10,10,9,9,9,10,10,9
101689,Cyproheptadine+for+serotonin+syndrome+in+an+accidental+pediatric+sertraline+ingestion_.txt,1,1,1,3,3,2,5,4,2
101690,Case-control+study+of+hair+dye+use+by+patients+with+breast+cancer+and+endometrial+cancer_.txt,10,10,10,9,9,9,10,9,9
101691,Purification+and+identification+of+an+FMN-dependent+NAD%28P%29H+azoreductase_.txt,10,10,10,9,9,9,10,10,10
101692,Laccases+and+Phenol+Oxidases+in+Organic+Synthesis+-+a+Review_.txt,9,8,8,9,9,8,9,8,8
101693,J.+Adv.+Oxid.+Technol._.txt,8,10,8,9,9,9,8,8,9
101694,Introduction+to+Algorithms_.txt,1,1,1,2,2,2,1,1,1
101695,Statistical+optimization+for+decolorization+of+textile+dyes+using+Trametes+versicolor_.txt,10,10,10,9,9,9,10,10,9
101696,Interaction+Between+a+Bubble+Plume+and+the+Near+Field+in+a+Stratified+Lake_.txt,10,10,10,9,10,9,10,10,10
101697,Cloning+and+Characterization+of+AnigAP+from+Aspergillus+niger+van+Teighem+MTCC+F0101_.txt,10,10,10,9,9,10,10,10,9
101698,Decolorization+of+triphenylmethane+dyes+by+Kurthia+sp._.txt,10,9,10,9,9,9,10,10,10
101699,Acute+toxicity+removal+in+textile+finishing+wastewater+by+Fenton%E2%80%99s+oxidation%2C+ozone+and+coagulation-flocculation+process_.txt,10,10,10,9,9,9,9,10,10
101700,The+International+Protein+Index%3A+An+integrated+database+for+proteomics+experiments_.txt,1,1,1,2,2,2,1,1,1
101701,Kinetic+study+approach+of+remazol+black-B+use+for+the+development+of+two-stage+anoxic-oxic+reactor+for+decolorization%2Fbiodegradation+of+azo+dyes+by+activated+bacterial+consortium_.txt,10,10,10,10,9,9,9,9,10
101702,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt,10,10,10,9,9,9,10,10,10
101703,Mutagenicity+of+commercial+hair+dyes+and+detection+of+2%2C7-diaminophenazine_.txt,1,1,1,9,2,2,2,1,4
101704,Pestic.+Sci._.txt,10,10,9,9,9,9,10,10,10
101705,Arsenic+removal+in+manganese-containing+groundwater_.txt,9,10,9,9,9,9,9,9,9
101706,Performance+of+the+Iron-Carbon+Coupling+Constructed+Wetland+for+Rural+Sewage+Treatment_.txt,10,10,10,9,9,9,9,10,10
101707,Enrichment+and+isolation+of+naphthalene+sulfonic+acidutilizing+pseudomonads_.txt,10,10,10,9,9,9,10,10,10
101708,Removal+of+Cd%28II%29+by+adsorption+on+agricultural+waste+biomass_.txt,10,10,10,9,9,9,10,10,10
101709,Kinetics+of+decolourisation+and+biotransformation+of+direct+black+38+by+C.+hominis+and+P.+stutzeri_.txt,1,1,1,2,2,2,2,2,4
101710,Effect+of+operating+parameters+on+decolorization+and+COD+removal+of+three+reactive+dyes+by+Fenton%E2%80%99s+reagent+using+fluidized-bed+reactor_.txt,10,10,10,9,9,9,10,10,10
101711,Predicting+Azo+Dye+Toxicity_.txt,10,10,10,9,9,9,10,10,10
101712,Missing+data+methods+in+PCA+and+PLS%3A+Score+calculations+with+incomplete+observations_.txt,10,10,10,8,9,9,8,9,9
101713,Anaerobic+decolorisation+of+reactive+dyes+in+conventional+sewage-treatment+processes_.txt,10,10,10,9,9,9,9,9,10
101714,Color+in+textile+effluents+-+sources%2C+measurement%2C+discharge+consents+and+simulation%3A+a+review_.txt,10,10,8,7,8,9,8,9,8
101715,Review+of+Emerging+Issues+in+Sediment+Treatment_.txt,1,1,1,2,2,2,1,1,1
101716,Advanced+oxidation+processes+for+water+treatment_.txt,1,1,1,2,2,2,4,2,8
101717,The+pollution+of+the+marine+environment+by+plastic+debris%3A+A+review_.txt,1,1,1,2,2,2,1,1,1
101718,Comparative+study+on+batch+equilibrium+biosorption+of+Cd%28II%29%2C+Pb%28II%29+and+Zn%28II%29+using+plantain+%28Musa+paradisiaca%29+flower_.txt,10,10,10,9,10,9,10,10,10
101719,Nutrient+removal+in+hybrid+constructed+wetlands%3A+Spatial-seasonal+variation+and+the+effect+of+vegetation_.txt,10,10,10,9,9,9,10,9,10
101720,Mechanistic+insight+into+the+function+of+the+c-terminal+PKD+domain+of+the+collagenolytic+serine+protease+deseasin+MCP-01_.txt,10,10,10,9,9,9,10,10,10
101721,Secondary+settling+tanks%3A+theory%2C+modelling%2C+design+and+operation_.txt,10,9,10,9,9,9,8,8,8
101722,Monoamine+Oxidase+Inhibitors_.txt,1,1,1,2,2,1,1,1,1
101723,Isolation+and+identification+of+diisopropylnaphthalene+isomers+in+the+alkylation+products+of+naphthalene_.txt,10,10,10,9,9,9,10,8,10
101724,Batch+removal+of+Acid+Blue+292+dye+by+biosorption+onto+Lemna+minor%3A+equilibrium+and+kinetic+studies_.txt,10,10,10,9,9,9,10,10,10
101725,Drug+interactions+of+clinical+significance+with+selective+serotonin+reuptake+inhibitors_.txt,1,1,1,1,1,0,1,1,1
101726,Marine+debris+in+the+North+Pacific%3A+A+summary+of+existing+information+and+identification+of+data+gaps_.txt,2,8,5,2,2,2,5,4,3
101727,Neuroleptic+malignant+syndrome%3A+mechanisms%2C+interactions%2C+and+causality_.txt,1,1,1,2,2,2,2,2,2
101728,Transformation+of+cerium+dioxide+nanoparticles+during+incineration+of+sewage+sludge_.txt,10,8,10,9,9,9,9,9,9
101729,Sublingual+olanzapine+for+the+treatment+of+serotonin+syndrome_.txt,10,9,10,8,4,3,5,8,8
101730,Decolorization%2C+degradation+and+detoxification+of+carcinogenic+sulfonated+azo+dye+methyl+or.._.txt,10,10,10,9,9,9,10,9,9
101731,Effect+of+sawdust+dosage+and+hydraulic+retention+time+%28HRT%29+on+nitrate+removal+in+sawdust%2Fpyrite+mixotrophic+denitrification+%28SPMD%29+systems_.txt,10,10,10,9,9,9,10,10,10
101732,Solar+photocatalytic+degradation+of+methylene+blue+in+carbon-doped+TiO2+nanoparticles+suspension_.txt,10,10,10,9,9,9,10,10,10
101733,Kinetics%2C+isotherms+and+thermodynamic+modeling+of+liquid+phase+adsorption+of+Rhodamine+B+dye+onto+Raphia+hookerie+fruit+epicarp_.txt,10,10,10,9,9,9,10,9,10
101734,Biological+treatment+of+textile+%26+dye+%E2%80%93stuff+with+a+special+emphasis+on+triphenylmethane+dyes_.txt,10,10,10,9,9,9,10,10,9
101735,Wastewater+Technology+Fact+Sheet+Sequencing+Batch+Reactors_.txt,1,1,1,2,2,2,2,2,3
101736,Degradation+of+anthraquinone+dye+C.I.+Reactive+Blue+19+in+aqueous+solution+by+ozonation_.txt,1,1,1,2,2,2,2,1,1
101737,Activated+sludge+model+no.+3_.txt,10,10,10,9,9,9,10,10,10
101738,Decolonization+of+azo+and+triphenylmethane+dyes+by+Pycnoporus+sanguineus+producing+laccase+as+the+sole+phenol+oxidase_.txt,10,10,9,9,9,9,10,10,10
101739,Supervisory+control+of+wastewater+treatment+plants+by+combining+principal+component+analysis+and+fuzzy+c-means+clustering_.txt,1,1,1,2,2,2,2,2,2
101740,Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,1,1,1,2,2,2,3,2,2
101741,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,10,10,10,9,9,9,10,10,10
101742,Decolorization+and+degradation+of+Azo+dye-Remazol+Black+B+by+newly+isolated+Pseudomonas+putida_.txt,10,10,10,9,9,9,10,9,10
101743,Separation%2C+purification+and+characterization+of+dye+degrading+enzyme+azoreductase+from+bacterial+isolates_.txt,10,10,10,9,9,9,10,10,10
101744,Nonconvulsive+status+epilepticus%3A+the+role+of+morphine+and+its+antagonists_.txt,8,8,9,8,9,8,3,5,8
101745,Some+properties+of+azoreductase+produced+by+Pseudomonas+cepacia_.txt,10,10,10,9,9,9,10,9,10
101746,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,10,10,10,10,9,10,10,9,10
101747,Degradation+and+mineralization+of+Direct+Blue+71+using+UV%2FTiO2+process_.txt,1,1,1,2,2,2,2,2,3
101748,The+risk+of+second+primary+malignancies+up+to+three+decades+after+the+treatment+of+differentiated+thyroid+cancer_.txt,1,1,1,1,1,1,1,1,1
101749,Fast+learning+in+networks+of+locally-tuned+processing+units_.txt,9,10,10,8,9,9,8,10,8
101750,On+the+sessile+diatoms+in+the+brackish+water+area+of+the+River+Yodo.+II._.txt,1,1,1,2,2,2,1,1,1
101751,Aerobic+denitrifiers+with+petroleum+metabolizing+ability+isolated+from+caprolactam+sewage+treatment+pool_.txt,10,10,10,9,9,9,10,10,10
101752,Biodegradation+of+the+textile+dyes+by+newly+isolated+bacterial+strains_.txt,10,10,9,9,9,9,9,10,10
101753,KEGG+resource+for+genome+deciphering_.txt,1,1,1,2,2,2,1,1,2
101754,Geogenic+contaminants+in+groundwater+resources+of+Amazonian+riverine+communities_.txt,10,10,10,9,9,9,9,8,8
101755,In+vitro+degradation+of+porous+poly%28L-lactic+acid%29+foams_.txt,9,10,10,9,9,9,9,9,10
101756,Chemical+reduction+and+oxidation+combined+with+biodegradation+for+the+treatment+of+a+textile+dye_.txt,1,1,1,2,2,2,1,2,2
101757,Non-enzymatic+reduction+of+azo+dyes+by+NADH_.txt,10,10,10,10,9,10,10,10,10
101758,Tensor+Decomposition+for+Multiple-Instance+Classification+of+High-Order+Medical+Data_.txt,9,10,10,9,9,9,10,8,8
101759,Oxidation+of+non-crystalline+U%28IV%29%3A+role+of+reduced+sulfur_.txt,10,10,9,9,9,9,9,9,10
101760,Decolorization+of+Navitan+fast+blue+S5R+by+Pseudomonas+aeruginosa_.txt,10,10,10,9,9,9,10,10,10
101761,Incidence+rates+of+salivary+gland+tumors%3A+results+from+a+population-based+study_.txt,10,10,9,9,9,8,4,2,2
101762,The+removal+of+color+from+textile+wastewater+using+whole+bacterial+cells%3A+a+review_.txt,1,1,1,2,2,2,2,2,2
101763,Decolorization+of+triphenylmethane+dyes+by+Citrobacter+species_.txt,10,10,10,9,9,9,9,10,10
101764,Transfer+of+electrons+across+the+cytoplasmic+membrane+by+DsbD_.txt,10,10,10,9,9,9,9,9,10
101765,Nonconvulsive+status+epilepticus+in+elderly+individuals%3A+report+of+four+representative+cases_.txt,1,1,1,2,2,2,2,2,2
101766,Reduction+of+an+azo+dye+acid+black+24+solution+using+synthesized+nanoscale+zero-valent+iron+particles_.txt,1,1,1,2,2,2,1,2,2
101767,Identification+and+characterization+of+genetic+elements+from+Amycolatopsis+species_.txt,10,10,10,9,9,9,10,10,10
101768,Macroporous+and+nanofibrous+polymer+scaffolds+and+polymer%2Fbone-like+apatite+composite+scaffolds+generated+by+sugar+spheres_.txt,10,10,10,9,9,9,9,9,9
101769,Rf+values+calculated+from+TLC_.txt,10,10,10,9,10,9,10,9,10
101770,The+lifespan+of+ingested+plastic+particles+in+seabirds+and+their+effect+on+digestive+efficiency_.txt,10,10,10,9,9,9,9,8,9
101771,Degradation+of+methyl+violet+6B+dye+by+the+Fenton+process_.txt,10,10,10,9,9,9,10,9,9
101772,Evaluation+of+muscle+hypoxanthine+and+total+volatile+bases+as+potential+quality+indices_.txt,1,1,1,2,2,2,2,1,1
101773,Studying+Bacterial+Selenium+Methylation+at+Environmental+Relevant+Concentrations_.txt,10,10,10,9,9,9,9,9,9
101774,Sources%2C+fate+and+effects+of+microplastics+in+the+marine+environment_.txt,1,1,1,2,2,2,5,3,9
101775,Photo-Fenton+degradation+of+alachlor+in+the+presence+of+citrate+solution_.txt,10,10,10,9,10,9,10,10,10
101776,The+incentive+program+for+fishermen+to+collect+marine+debris+in+Korea_.txt,7,8,7,8,7,8,8,8,8
101777,Sewage+treatment+using+immobilized+microalgae_.txt,10,10,10,9,9,9,10,10,10
101778,Kinetics+of+phenol+biodegradation+in+high+salt+solutions_.txt,10,10,10,9,9,9,10,10,10
101779,DFT+insights+into+the+electronic+properties+and+adsorption+mechanism+of+HS-+on+smithsonite+%28101%29+surface_.txt,10,10,10,9,9,9,10,10,10
101780,Water+treatment+unit+processes%3A+physical+and+chemical_.txt,1,1,1,2,2,2,2,1,3
101781,Synthesis%2C+characterization+and+dye+removal+ability+of+high+capacity+polymeric+adsorbent%3A+Polyaminoimide+homopolymer_.txt,10,10,10,9,9,9,10,10,9
101782,The+degradation+of+dyestuffs%3A+Part+II%2C+Behaviour+of+dyestuffs+in+aerobic+biodegradation+test_.txt,10,10,9,9,9,9,9,9,10
101783,A+doubly+inducible+system+for+RNA+interference+and+rapid+RNAi+plasmid+construction+in+Trypanosoma+brucei_.txt,10,10,10,9,9,9,10,10,10
101784,Regulation+of+key+enzyme+steps+in+the+shikimate+pathway+and+phenylalanine-specific+pathway+of+the+actinomycete+Amycolatopsis+methanolica_.txt,10,10,10,9,9,10,10,10,8
101785,Toxicity+of+nickel%2C+zinc+and+cadmium+to+nitrate+uptake+in+free+and+immobilized+cells+of+Scenedesmus+quadricauda_.txt,10,10,10,9,9,9,10,9,8
101786,Untangling+the+nitrate+removal+pathways+for+a+constructed+wetland-sponge+iron+coupled+system+and+the+impacts+of+sponge+iron+on+a+wetland+ecosystem_.txt,10,10,10,9,9,9,10,10,10
101787,Treatment+of+textile+waste+effluent+by+ozonation+and+chemical+coagulation_.txt,10,10,10,9,9,9,10,10,10
