temperature,duration,pH,source_file,type_of_dye,type_of_fungi,concentration_of_dye,concentration_of_fungi,method_of_agitation,decolorization_result,additional_information,fungal_form
32°C,7 days,5.0,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.csv,Orange II,Phanerochaete chrysosporium,50 mg/l,,shaking,decreased degradation compared to lower temperatures,Temperature had a major influence on the decolorization.,mycelium
34°C,7 days,5.0,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.csv,Orange II,Phanerochaete chrysosporium,50 mg/l,,shaking,decreased degradation compared to lower temperatures,Temperature had a major influence on the decolorization.,mycelium
,,9.0,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.csv,Orange II,Phanerochaete chrysosporium,unknown,,,79% reduction in dark brown effluent degradation,Conducted with real wastewater from textile industry.,mycelium
30 °C,under 2 days,not specified,Biodegradation+of+dyes+by+Citrobacter+spp.+MY-5_.csv,Amido Black,Amycolatopsis orientalis SY6,10 µg/ml,not specified,shaking,Blue to violet color change,Decolorization observed visually,whole fungi
30 °C,under 1 hour,not specified,Biodegradation+of+dyes+by+Citrobacter+spp.+MY-5_.csv,Brilliant Green,Amycolatopsis orientalis SY6,10 µg/ml,not specified,shaking,Colorless derivatives,Decolorization observed visually,whole fungi
30 °C,20 to 60 minutes at different intervals,not specified,Biodegradation+of+dyes+by+Citrobacter+spp.+MY-5_.csv,Crystal Violet,Amycolatopsis orientalis SY6,10 µg/ml,not specified,shaking,Degradation observed,Thin layer chromatography confirmed degradation,whole fungi
30 °C,not specified,not specified,Biodegradation+of+dyes+by+Citrobacter+spp.+MY-5_.csv,Crystal Violet,Unspecific,10 µg/ml,not specified,static,Not effective,The dye could not be decolorized without additional carbon sources.,not specified
30 °C,not specified,not specified,Biodegradation+of+dyes+by+Citrobacter+spp.+MY-5_.csv,"Combined dyes (Brilliant Green, Basic Fuchsin, Malachite Green, Crystal Violet)",Amycolatopsis orientalis SY6,10 µg/ml each,not specified,shaking,66% decolorization,No significant impact from added azo dyes.,whole fungi
not specified,not specified,not specified,Biodegradation+of+dyes+by+Citrobacter+spp.+MY-5_.csv,Amido Black,Amycolatopsis orientalis SY6,varied,not specified,non-specific,Complete mineralization detected,Ability to degrade combined dyes demonstrated,whole fungi
37 °C,3 days,7.0,Biodegradation+of+dyes+by+Citrobacter+spp.+MY-5_.csv,Crystal Violet,Combined strains,10 µg/ml,not specified,shaking,Complete mineralization,"Clones SlivCV2, SlivCV4, SlivCV6 combined",not specified
25°C,8 days,initial pH 5.0,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.csv,Ambifix Blue H3R,Polyporus pseudobetulinus,200 mg/L,3 plugs (6 mm diameter),rotary shaker,98%,Maximal activity reached within 8 days.,whole fungi
25°C,10 days,initial pH 5.0,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.csv,Ambifix Yellow H3R,Polyporus pseudobetulinus,200 mg/L,3 plugs (6 mm diameter),rotary shaker,24%,"Very slow removal process, possibly due to enzyme inhibition or substrate inhibition.",whole fungi
25°C,18 days,initial pH 5.0,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.csv,Ambifix Red HE3B,Polyporus pseudobetulinus,200 mg/L,3 plugs (6 mm diameter),rotary shaker,50%,Very slow removal process.,whole fungi
,24 h,initial pH 5.0,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.csv,Malachite Green,Polyporus pseudobetulinus,100 mg/L,N/A (crude enzyme concentration 5 U/ml),,80%,High decolorization efficiency by crude laccase.,N/A (crude enzyme only)
,15 min,initial pH 5.0,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.csv,Ambifix Blue H3R,N/A (crude laccase only),100 mg/L,N/A (crude enzyme concentration 5 U/ml),,65%,High reactivity in short time.,N/A (crude enzyme only)
37°C,3 hours,7.0,Mechanisms+of+azo+reduction+by+Streptococcus+faecalis.+II.+The+role+of+soluble+flavins_.csv,Methyl Red,Enterococcus faecalis,20 µM,Mid-log phase,Shaking (200 rpm),Complete reduction,Reduced in both aerobic and anaerobic conditions,Whole fungi
37°C,4 hours,7.0,Mechanisms+of+azo+reduction+by+Streptococcus+faecalis.+II.+The+role+of+soluble+flavins_.csv,Direct Blue 15,Enterococcus faecalis,20 µM,Mid-log phase,Shaking (200 rpm),75% reduction,Incomplete reduction under aerobic conditions,Whole fungi
37°C,40 minutes,7.0,Mechanisms+of+azo+reduction+by+Streptococcus+faecalis.+II.+The+role+of+soluble+flavins_.csv,Tartrazine,Enterococcus faecalis,20 µM,Mid-log phase,Shaking (200 rpm),Complete reduction,Reduced in both aerobic and anaerobic conditions,Whole fungi
37°C,20 minutes,7.0,Mechanisms+of+azo+reduction+by+Streptococcus+faecalis.+II.+The+role+of+soluble+flavins_.csv,Methyl Red,Enterococcus faecalis,20 µM,Buffer medium (no growth),Static,90% reduction,No growth in PBSG,Whole fungi
37°C,28 hours,7.0,Mechanisms+of+azo+reduction+by+Streptococcus+faecalis.+II.+The+role+of+soluble+flavins_.csv,Tartrazine,Enterococcus faecalis,20 µM,Buffer medium (no growth),Static,80% reduction,Slow reduction in PBSG,Whole fungi
37°C,Not detected,7.0,Mechanisms+of+azo+reduction+by+Streptococcus+faecalis.+II.+The+role+of+soluble+flavins_.csv,Direct Blue 15,Enterococcus faecalis,20 µM,Buffer medium (no growth),Static,No detectable reduction,No activity observed in PBG medium,Whole fungi
37°C,2 minutes,7.2,Mechanisms+of+azo+reduction+by+Streptococcus+faecalis.+II.+The+role+of+soluble+flavins_.csv,Methyl Red,Cell extract of Enterococcus faecalis,20 µM,Cell extract,Static,Not detected,NAD(P)H required for activity,Fungal mass
30°C,under 2 days,not specified,Biodegradation+of+crystal+violet+by+Citrobacter+sp.+strain+KCTC+18061P%3A+Purification%2C+characterization%2C+gene+cloning%2C+and+overexpression+of+a+functional+protein+in+Escherichia+coli_.csv,Amido Black,Amycolatopsis orientalis,10 µg/ml,not specified,shaking,visible color change from blue to violet,Strain SY6 decolorizes amido black; was monitored visually,mycelial
30°C,under 1 hour,not specified,Biodegradation+of+crystal+violet+by+Citrobacter+sp.+strain+KCTC+18061P%3A+Purification%2C+characterization%2C+gene+cloning%2C+and+overexpression+of+a+functional+protein+in+Escherichia+coli_.csv,Brilliant Green,Amycolatopsis orientalis,10 µg/ml,not specified,shaking,decolorized to colorless derivatives,Strain SY6 decolorizes brilliant green quickly,mycelial
30°C,up to 60 minutes,not specified,Biodegradation+of+crystal+violet+by+Citrobacter+sp.+strain+KCTC+18061P%3A+Purification%2C+characterization%2C+gene+cloning%2C+and+overexpression+of+a+functional+protein+in+Escherichia+coli_.csv,Crystal Violet,Amycolatopsis orientalis,30 µg/ml,not specified,shaking,difficult to mineralize beyond this concentration,Visible decrease and TLC confirmed degradation,mycelial
37°C,not specified,not specified,Biodegradation+of+crystal+violet+by+Citrobacter+sp.+strain+KCTC+18061P%3A+Purification%2C+characterization%2C+gene+cloning%2C+and+overexpression+of+a+functional+protein+in+Escherichia+coli_.csv,"Mixed Dyes (Crystal Violet, Brilliant Green, Basic Fuchsin, Malachite Green)",Amycolatopsis orientalis,10 µg/ml each,not specified,shaking,efficiently decolorized to colorless derivatives,Combination of triphenylmethane dyes showed effective decolorization,mycelial
not specified,60 minutes,not specified,Biodegradation+of+crystal+violet+by+Citrobacter+sp.+strain+KCTC+18061P%3A+Purification%2C+characterization%2C+gene+cloning%2C+and+overexpression+of+a+functional+protein+in+Escherichia+coli_.csv,Crystal Violet,Amycolatopsis orientalis,10 µg/ml,not specified,shaking,significant decrease in concentration observed,Thin layer chromatography showed effective degradation,mycelial
not specified,not specified,not specified,Biodegradation+of+crystal+violet+by+Citrobacter+sp.+strain+KCTC+18061P%3A+Purification%2C+characterization%2C+gene+cloning%2C+and+overexpression+of+a+functional+protein+in+Escherichia+coli_.csv,Amaranth,Amycolatopsis orientalis,10 µg/ml,not specified,shaking,not stated,Suspected contribution to dye degradation since strain capable of sorbose utilization was characterized,mycelial
not specified,not specified,not specified,Biodegradation+of+crystal+violet+by+Citrobacter+sp.+strain+KCTC+18061P%3A+Purification%2C+characterization%2C+gene+cloning%2C+and+overexpression+of+a+functional+protein+in+Escherichia+coli_.csv,"Amido Black, Janus Green",Amycolatopsis orientalis,10 µg/ml,not specified,shaking,able to decolorize without carbon source,Effectiveness tested in combination with other dyes,mycelial
30 °C,not specified,7±0.2,Biological+decolorization+and+degradation+of+synthetic+dyes%3A+a+green+step+toward..._.csv,Acid Maroon V,Enterobacter dissolvens (ED),100 mg l-1,10% (v/v) inoculum of 0.5 OD 600,static,119.34±7.4 U ml-1,activity measured after decolorization,whole fungi
30 °C,not specified,7±0.2,Biological+decolorization+and+degradation+of+synthetic+dyes%3A+a+green+step+toward..._.csv,Acid Maroon V,Pseudomonas aeruginosa (PA),100 mg l-1,10% (v/v) inoculum of 0.5 OD 600,static,51.58±2.8 U ml-1,activity measured after decolorization,whole fungi
30 °C,4 min pre-incubation,7,Biological+decolorization+and+degradation+of+synthetic+dyes%3A+a+green+step+toward..._.csv,Methyl Red,Enterobacter dissolvens (ED),24 µM,not specified,not specified,287.07±12 U ml-1,activity measured using UV-visible spectrophotometer,whole fungi
30 °C,4 min pre-incubation,7,Biological+decolorization+and+degradation+of+synthetic+dyes%3A+a+green+step+toward..._.csv,Methyl Red,Pseudomonas aeruginosa (PA),24 µM,not specified,not specified,205.33±8 U ml-1,activity measured using UV-visible spectrophotometer,whole fungi
30 °C,not specified,7,Biological+decolorization+and+degradation+of+synthetic+dyes%3A+a+green+step+toward..._.csv,Methyl Red,Enterobacter dissolvens (ED),0.1 to 2 mM,not specified,not specified,Max activity 318.57±4.8 U ml-1 at 1 mM NADH,activity decreases at higher NADH concentrations,whole fungi
30 °C,not specified,7,Biological+decolorization+and+degradation+of+synthetic+dyes%3A+a+green+step+toward..._.csv,Methyl Red,Pseudomonas aeruginosa (PA),0.1 to 2 mM,not specified,not specified,Max activity 169.34±3.4 U ml-1 at 1 mM NADH,activity decreases at higher NADH concentrations,whole fungi
30 °C,not specified,not specified,Biological+decolorization+and+degradation+of+synthetic+dyes%3A+a+green+step+toward..._.csv,Methyl Red,Enterobacter dissolvens (ED),not specified,not specified,not specified,Maximum activity at pH 7 (315.58±8.4 U ml-1),pH activity data shown in Figure 1,whole fungi
30 °C,not specified,not specified,Biological+decolorization+and+degradation+of+synthetic+dyes%3A+a+green+step+toward..._.csv,Methyl Red,Pseudomonas aeruginosa (PA),not specified,not specified,not specified,Maximum activity at pH 7 (161.71±2.7 U ml-1),pH activity data shown in Figure 1,whole fungi
30 °C,not specified,7±0.2,Biological+decolorization+and+degradation+of+synthetic+dyes%3A+a+green+step+toward..._.csv,Acid Maroon V,Enterobacter dissolvens (ED),100 mg l-1,10% (v/v) inoculum of 0.5 OD 600,static,Specific activity 51.72 U mg-1 protein,specific activity reported after partial purification,whole fungi
30 °C,not specified,7±0.2,Biological+decolorization+and+degradation+of+synthetic+dyes%3A+a+green+step+toward..._.csv,Acid Maroon V,Pseudomonas aeruginosa (PA),100 mg l-1,10% (v/v) inoculum of 0.5 OD 600,static,Specific activity 33.06 U mg-1 protein,specific activity reported after partial purification,whole fungi
room temperature,10 min,7.5,Crystal+structure+of+an+aerobic+FMN-dependent+azoreductase_.csv,Methyl Red,Enterococcus faecalis,0.5 mM,Unknown,gentle shaking,Observed decolorization,Native PAGE assay showed clearing zones indicating reduction.,whole fungi
25°C,2 min,7.2,Crystal+structure+of+an+aerobic+FMN-dependent+azoreductase_.csv,Methyl Red,Enterococcus faecalis,20 μM,Unknown,stirring,Reduction measured by absorbance change,Absorbance reduction was measured at 430 nm.,whole fungi
25°C,Approx. measurement duration Unknown,7.0,Crystal+structure+of+an+aerobic+FMN-dependent+azoreductase_.csv,Methyl Red,Enterococcus faecalis,20 μM,0.5 mM NADPH,Unknown,No decolorization without enzyme,Control experiments confirmed reduction associated with enzyme activity.,whole fungi
Unknown,2 min for activity,7.2,Crystal+structure+of+an+aerobic+FMN-dependent+azoreductase_.csv,Methyl Red,Enterococcus faecalis,20 μM,1-800 μg enzyme,Unknown,Reduction measured by absorbance,Response monitored during enzyme assays.,whole fungi
30 °C,9 days,not specified,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.csv,orange G,Thelephora sp.,50 µM,10^5 spores/ml,shaking,33.3%,Percentage color removal at various times available in Table 1,mycelium
30 °C,8 hours,not specified,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.csv,congo red,Thelephora sp.,50 µM,10^5 spores/ml,shaking,97.1%,Percentage color removal at various times available in Table 1,mycelium
30 °C,24 hours,not specified,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.csv,amido black 10B,Thelephora sp.,25 µM,10^5 spores/ml,shaking,98.8%,Percentage color removal at various times available in Table 1,mycelium
39 °C,3 days,4.5,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.csv,dye industry effluent,Thelephora sp.,not specified,10^5 spores/ml,batch,61%,Compared batch vs continuous mode,mycelium
39 °C,7 days,4.5,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.csv,dye industry effluent,Thelephora sp.,not specified,10^5 spores/ml,continuous,50%,Compared batch vs continuous mode,mycelium
not specified,not specified,not specified,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.csv,orange G,Thelephora sp.,50 µM,not specified,not specified,19% (by laccase at 15 U/ml),Enzymatic results for colored dye degradation available in Figure 1,not specified
not specified,not specified,not specified,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.csv,congo red,Thelephora sp.,50 µM,not specified,not specified,12.0% (by laccase),Enzymatic results for colored dye degradation available in Figure 1,not specified
not specified,not specified,not specified,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.csv,amido black 10B,Thelephora sp.,25 µM,not specified,not specified,15.0% (by laccase),Enzymatic results for colored dye degradation available in Figure 1,not specified
37°C,20 min,7.0,Physiological+Characterization+of+Azo+Dye+Reduction_.csv,Methyl Red,E. faecalis,20 µM,mid-log phase,none (anaerobic),complete reduction,Highest reduction rate in anaerobic conditions,whole fungi
37°C,50 min,7.0,Physiological+Characterization+of+Azo+Dye+Reduction_.csv,Direct Blue 15,E. faecalis,20 µM,mid-log phase,none (anaerobic),complete reduction,Reduced mainly in anaerobic conditions,whole fungi
37°C,40 min,7.0,Physiological+Characterization+of+Azo+Dye+Reduction_.csv,Tartrazine,E. faecalis,20 µM,mid-log phase,none (anaerobic),complete reduction,Reduction occurred extracellularly,whole fungi
37°C,3 hr,7.0,Physiological+Characterization+of+Azo+Dye+Reduction_.csv,Methyl Red,E. faecalis,20 µM,mid-log phase,200 rpm (aerobic),incomplete reduction,Three times longer to reduce compared to anaerobic,whole fungi
37°C,4 hr,7.0,Physiological+Characterization+of+Azo+Dye+Reduction_.csv,Direct Blue 15,E. faecalis,20 µM,mid-log phase,200 rpm (aerobic),75% reduction,Not completely reduced under aerobic conditions,whole fungi
37°C,20 min,7.4,Physiological+Characterization+of+Azo+Dye+Reduction_.csv,Methyl Red,E. faecalis,20 µM,lag phase (PBSG),none,90% reduction,Similar reduction to that in anaerobic BHIS,whole fungi
37°C,28 hr,7.4,Physiological+Characterization+of+Azo+Dye+Reduction_.csv,Tartrazine,E. faecalis,20 µM,lag phase (PBSG),none,80% reduction,Reduction took significantly longer than in BHIS,whole fungi
30°C,2 days,Not specified,Biodegradation+of+triphenylmethane+and+azo+dyes+by+Citrobacter+spp._.csv,Amido Black,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,Shaking,Significant color change observed,Visual observation indicated a change from blue to violet.,Whole fungi
30°C,Less than 1 hour,Not specified,Biodegradation+of+triphenylmethane+and+azo+dyes+by+Citrobacter+spp._.csv,Brilliant Green,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,Shaking,Decolorization to colorless derivatives,Rapid decolorization demonstrated.,Whole fungi
Not specified,Not specified,Not specified,Biodegradation+of+triphenylmethane+and+azo+dyes+by+Citrobacter+spp._.csv,Congo Red,Amycolatopsis orientalis SY6,Not specified,Not specified,Not specified,Not specified (hypothesis on potential breakdown),Further testing required.,Whole fungi
30°C,60 minutes,Not specified,Biodegradation+of+triphenylmethane+and+azo+dyes+by+Citrobacter+spp._.csv,Crystal Violet,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,Shaking,Significant as monitored on TLC,Clear bands observed at different time intervals.,Whole fungi
37°C,Not specified,Not specified,Biodegradation+of+triphenylmethane+and+azo+dyes+by+Citrobacter+spp._.csv,Combined triphenylmethane dyes,Amycolatopsis orientalis SY6,10 µg/ml for each dye,Not specified,Shaking,66% decolorization,All dyes decolorized effectively.,Whole fungi
Not specified,Not specified,Not specified,Biodegradation+of+triphenylmethane+and+azo+dyes+by+Citrobacter+spp._.csv,Amido Black,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,Not specified,Undetectable,Not decolorized without carbon source.,Whole fungi
Not specified,60 minutes,Not specified,Biodegradation+of+triphenylmethane+and+azo+dyes+by+Citrobacter+spp._.csv,Rhodococcus erythropolis,Rhodococcus erythropolis SQ1,10 µg/ml,Not specified,Not specified,Monitoring showed similar Rf values in TLC,No strong variations detected among strains.,Whole fungi
30°C,7 days,Not specified,Mechanism+of+triphenylmethane+biodegradation_.csv,amido black,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,shaking,Significant decolorization observed,Using minimal media broth supplemented with glucose.,Mycelium
30°C,2 days,Not specified,Mechanism+of+triphenylmethane+biodegradation_.csv,crystal violet,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,shaking,Visible color change from blue to violet,Decolorization monitored spectrophotometrically.,Mycelium
30°C,Less than 1 hour,Not specified,Mechanism+of+triphenylmethane+biodegradation_.csv,brilliant green,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,shaking,Completely decolorized,Decolorization observed in liquid minimal media.,Mycelium
Not specified,Time not specified,Not specified,Mechanism+of+triphenylmethane+biodegradation_.csv,combined triphenylmethane dyes,Amycolatopsis orientalis SY6,Each at 10 µg/ml,Not specified,shaking,Complete decolorization observed,"Dyes included crystal violet, brilliant green, basic fuchsin, and malachite green.",Mycelium
Not specified,Time not specified,Not specified,Mechanism+of+triphenylmethane+biodegradation_.csv,crystal violet,Rhodococcus erythropolis SQ1,10 µg/ml,Not specified,shaking,"Yes, exhibited decolorization",Indicated by change in absorbance over time.,Whole fungi
Not specified,Time not specified,Not specified,Mechanism+of+triphenylmethane+biodegradation_.csv,crystal violet,Mycobacterium smegmatis,10 µg/ml,Not specified,shaking,"Yes, exhibited decolorization",Indicated by TLC banding patterns.,Whole fungi
Not specified,Time not specified,Not specified,Mechanism+of+triphenylmethane+biodegradation_.csv,"amido black, janus green",Amycolatopsis orientalis SY6,Each dye at 10 µg/ml,Not specified,shaking,Not specified,Combined with other triphenylmethane dyes.,Mycelium
30°C,5 min,Not specified,Cloning+of+a+triphenylmethane+reductase+gene+from+Citrobacter+sp.+KCTC+18061P_.csv,Crystal Violet,Amycolatopsis orientalis,10 µg/ml,Not specified,Not specified,Visible decolorization,Dye degradation monitored using TLC,Whole fungi
30°C,10 min,Not specified,Cloning+of+a+triphenylmethane+reductase+gene+from+Citrobacter+sp.+KCTC+18061P_.csv,Crystal Violet,Amycolatopsis orientalis,10 µg/ml,Not specified,Not specified,Dramatic decrease in intensity on TLC,TLC showed significant degradation,Whole fungi
30°C,20 min,Not specified,Cloning+of+a+triphenylmethane+reductase+gene+from+Citrobacter+sp.+KCTC+18061P_.csv,Crystal Violet,Amycolatopsis orientalis,10 µg/ml,Not specified,Not specified,Dye degradation continued,TLC showed main bands present,Whole fungi
30°C,30 min,Not specified,Cloning+of+a+triphenylmethane+reductase+gene+from+Citrobacter+sp.+KCTC+18061P_.csv,Crystal Violet,Amycolatopsis orientalis,10 µg/ml,Not specified,Not specified,Complete decolorization observed,All bands disappeared on TLC,Whole fungi
30°C,60 min,Not specified,Cloning+of+a+triphenylmethane+reductase+gene+from+Citrobacter+sp.+KCTC+18061P_.csv,Crystal Violet,Amycolatopsis orientalis,10 µg/ml,Not specified,Not specified,No visible dye present,TLC showed complete removal of lower bands,Whole fungi
Not specified,Not specified,Not specified,Cloning+of+a+triphenylmethane+reductase+gene+from+Citrobacter+sp.+KCTC+18061P_.csv,"Combined dyes (Brilliant Green, Basic Fuchsin, Malachite Green)",Amycolatopsis orientalis,10 µg/ml for each,Not specified,Not specified,Dye effectively decolorized,Combined decolorization similar to individual dye treatment,Whole fungi
Not specified,Not specified,Not specified,Cloning+of+a+triphenylmethane+reductase+gene+from+Citrobacter+sp.+KCTC+18061P_.csv,Crystal Violet,Rhodococcus erythropolis,10 µg/ml,Not specified,Not specified,Decolorization similar to A. orientalis,TLC results matched with A. orientalis,Whole fungi
Not specified,Not specified,Not specified,Cloning+of+a+triphenylmethane+reductase+gene+from+Citrobacter+sp.+KCTC+18061P_.csv,Crystal Violet,Mycobacterium smegmatis,10 µg/ml,Not specified,Not specified,Decolorization similar to A. orientalis,TLC results matched with A. orientalis,Whole fungi
30 °C,30 days,4.5,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.csv,Poly R-478,Bjerkandera spp.,0.2 g/l,,static culture,Significant,Used selective medium with hemp stem wood and benomyl.,whole fungi
30 °C,30 days,5.2,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.csv,Poly R-478,Penicillium simplicissimum,0.2 g/l,,continuous stirring,High activity,"Also grew on 3,4-dimethoxycinnamic acid.",whole fungi
30 °C,30 days,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.csv,Poly R-478,T. versicolor,0.2 g/l,,static culture,Lower than Bjerkandera spp.,Reference strain in tests.,whole fungi
37 °C,30 days,4.5,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.csv,Poly R-478,Phanerochaete chrysosporium,0.2 g/l,,static culture,Reference activity,Used for comparison of peroxidative activity.,whole fungi
30 °C,30 days,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.csv,Poly R-478,Trametes E39,0.2 g/l,,static culture,High activity,Isolated strain.,whole fungi
,,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.csv,not specified,Bjerkandera sp. BOS55,,,,Produced chlorinated anisyl metabolites.,Studied for their role in lignin degradation.,
30°C,5 min.,,Preliminary+characterization+of+A.+orientalis+phytase+activity_.csv,crystal violet,Amycolatopsis orientalis,10 µg/ml,,shaking,visible color change from blue to violet,"Initial color change observed at 10 µg/ml, but struggled at 30 µg/ml.",mycelial
30°C,60 min.,,Preliminary+characterization+of+A.+orientalis+phytase+activity_.csv,crystal violet,Amycolatopsis orientalis,20 µg/ml,,shaking,dramatic decrease in intensity,Observed on TLC showing various degradation products.,mycelial
,,,Preliminary+characterization+of+A.+orientalis+phytase+activity_.csv,crystal violet,Amycolatopsis orientalis,10 µg/ml,,,63% decolorization,Decolorization was influenced by various carbon and nitrogen sources.,mycelial
,,,Preliminary+characterization+of+A.+orientalis+phytase+activity_.csv,combined triphenylmethane dyes,Amycolatopsis orientalis,10 µg/ml each,,,66% decolorization,Effective decolorization indicated synergistic enzyme activity.,mycelial
37°C,48 h,6.5,Preliminary+characterization+of+A.+orientalis+phytase+activity_.csv,amido black,Amycolatopsis orientalis,10 µg/ml,,shaking,over 45% decolorization,Additives like glucose greatly aid decolorization.,mycelial
,,,Preliminary+characterization+of+A.+orientalis+phytase+activity_.csv,multiple dyes,Amycolatopsis orientalis,10 µg/ml each,,,Complete biodegradation,Dye combination effectively mineralized.,mycelial
,,,Preliminary+characterization+of+A.+orientalis+phytase+activity_.csv,mixed dyes,Streptomyces lividans,,,,Varies,Combination of mixed cultures showed enhanced degradation.,
37°C,3 days,,Preliminary+characterization+of+A.+orientalis+phytase+activity_.csv,crystal violet,S. lividans TK23,10 µg/ml,,,inhibited,Inhibition was noted without the addition of supplementary carbon sources.,mycelial
30°C,48 hours,unknown,Adaptation+of+conventional+Rhodococcus+spp.+PEG-mediated+transformation+procedure+for+use+with+S.+lividans+and+the+generation+of+S.+lividans+mutants+capable+of+regenerating+in+liquid+broth_.csv,amido black,Amycolatopsis orientalis,10 µg/ml,high cell density,shaking,complete,transformation led to biodegradative ability,mycelial
37°C,60 min.,unknown,Adaptation+of+conventional+Rhodococcus+spp.+PEG-mediated+transformation+procedure+for+use+with+S.+lividans+and+the+generation+of+S.+lividans+mutants+capable+of+regenerating+in+liquid+broth_.csv,crystal violet,Amycolatopsis orientalis,10 µg/ml,high cell density,shaking,significant color removal,initial absorbance monitored,mycelial
unknown,20 min.,unknown,Adaptation+of+conventional+Rhodococcus+spp.+PEG-mediated+transformation+procedure+for+use+with+S.+lividans+and+the+generation+of+S.+lividans+mutants+capable+of+regenerating+in+liquid+broth_.csv,crystal violet,Amycolatopsis orientalis,10 µg/ml,unknown,unknown,decolorization observed,decolorization monitored using TLC,mycelial
37°C,unknown,unknown,Adaptation+of+conventional+Rhodococcus+spp.+PEG-mediated+transformation+procedure+for+use+with+S.+lividans+and+the+generation+of+S.+lividans+mutants+capable+of+regenerating+in+liquid+broth_.csv,combined triphenylmethane dyes,Amycolatopsis orientalis,10 µg/ml each,unknown,unknown,complete degradation,multiple dyes successfully decolorized,mycelial
unknown,unknown,unknown,Adaptation+of+conventional+Rhodococcus+spp.+PEG-mediated+transformation+procedure+for+use+with+S.+lividans+and+the+generation+of+S.+lividans+mutants+capable+of+regenerating+in+liquid+broth_.csv,amido black, Amycolatopsis orientalis,10 µg/ml,unknown,unknown,showing potential,associated genes identified,mycelial
30°C,5 minutes,Not specified,Triphenylmethane+reductase+from+Citrobacter+sp._.csv,Crystal violet,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,Incubation,Visible clearing observed,Decolorization monitored on TLC. Significant intensity decrease at 5 minutes.,whole fungi
30°C,10 minutes,Not specified,Triphenylmethane+reductase+from+Citrobacter+sp._.csv,Crystal violet,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,Incubation,Visible clearing observed,Continued monitoring on TLC shows no visible bands on the 30 minutes interval.,whole fungi
30°C,Not specified,Not specified,Triphenylmethane+reductase+from+Citrobacter+sp._.csv,Crystal violet,Amycolatopsis orientalis SY6,30 µg/ml,Not specified,Incubation,Not able to decolorize beyond this concentration,Strain acclimatization showed improvement in decolorization capacity.,whole fungi
30°C,Not specified,Not specified,Triphenylmethane+reductase+from+Citrobacter+sp._.csv,Brilliant green,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,Incubation,Decolorization observed,Strain shows ability to degrade other triphenylmethane dyes.,whole fungi
30°C,Not specified,Not specified,Triphenylmethane+reductase+from+Citrobacter+sp._.csv,Basic fuchsin,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,Incubation,Decolorization observed,Strain shows ability to degrade other triphenylmethane dyes.,whole fungi
30°C,Not specified,Not specified,Triphenylmethane+reductase+from+Citrobacter+sp._.csv,Malachite green,Amycolatopsis orientalis SY6,10 µg/ml,Not specified,Incubation,Decolorization observed,Strain shows ability to degrade other triphenylmethane dyes.,whole fungi
